date,code,market,name,mcap,shares,sect
2026-08-21,069460,KOSPI,대호에이엘,46322277400,17414390,
2026-08-21,475560,KOSPI,더본코리아,272241529200,14827970,
2026-08-21,192080,KOSPI,더블유게임즈,1257703999200,21173468,
2026-08-21,004830,KOSPI,덕성,50176000000,15680000,
2026-08-21,004835,KOSPI,덕성우,6103920000,1392000,
2026-08-21,145720,KOSPI,덴티움,313478437850,8623891,
2026-08-21,002150,KOSPI,도화엔지니어링,171297600000,33720000,
2026-08-21,460850,KOSPI,동국씨엠,153978078400,29898656,
2026-08-21,460860,KOSPI,동국제강,453417275380,49608017,
2026-08-21,001230,KOSPI,동국홀딩스,295775673930,155507715,
2026-08-21,023450,KOSPI,동남합성,106925000000,3500000,
2026-08-21,004140,KOSPI,동방,85629602310,47971766,
2026-08-21,007590,KOSPI,동방아그로,76122255430,13617577,
2026-08-21,005960,KOSPI,동부건설,170493706090,22946663,
2026-08-21,005965,KOSPI,동부건설우,3925479480,225732,
2026-08-21,026960,KOSPI,동서,2562290000000,99700000,
2026-08-21,002210,KOSPI,동성제약,144446162965,96619507,
2026-08-21,102260,KOSPI,동성케미컬,179623700095,50669591,
2026-08-21,000640,KOSPI,동아쏘시오홀딩스,605927430000,6732527,
2026-08-21,170900,KOSPI,동아에스티,360417991050,9727881,
2026-08-21,028100,KOSPI,동아지질,192795970060,11222117,
2026-08-21,001520,KOSPI,동양,114299208144,107122032,
2026-08-21,001527,KOSPI,동양2우B,1345310700,205705,
2026-08-21,084670,KOSPI,동양고속,69927991350,2895569,
2026-08-21,082640,KOSPI,동양생명,1287516293250,156062581,
2026-08-21,001525,KOSPI,동양우,2355656550,262615,
2026-08-21,018500,KOSPI,동원모빌리티,67560878185,46754933,
2026-08-21,006040,KOSPI,동원산업,1666315917250,44140819,
2026-08-21,030720,KOSPI,동원수산,26852454850,4653805,
2026-08-21,014820,KOSPI,동원시스템즈,595770845100,28991282,
2026-08-21,014825,KOSPI,동원시스템즈우,3668501790,264111,
2026-08-21,111380,KOSPI,동인기연,83156960000,6128000,
2026-08-21,163560,KOSPI,동일고무벨트,78257000000,13900000,
2026-08-21,004890,KOSPI,동일산업,88520347500,2425215,
2026-08-21,002690,KOSPI,동일제강,29963331360,20300360,
2026-08-21,000020,KOSPI,동화약품,142171182300,27931470,
2026-08-21,000150,KOSPI,두산,17456954130000,16193835,
2026-08-21,000157,KOSPI,두산2우B,289344312000,893038,
2026-08-21,454910,KOSPI,두산로보틱스,4595736582000,64819980,
2026-08-21,241560,KOSPI,두산밥캣,5550066163500,95856065,
2026-08-21,034020,KOSPI,두산에너빌리티,46953132001800,640561146,
2026-08-21,000155,KOSPI,두산우,1578602490000,3996462,
2026-08-21,336260,KOSPI,두산퓨얼셀,2423267862000,65493726,
2026-08-21,33626K,KOSPI,두산퓨얼셀1우,68157420000,13364200,
2026-08-21,33626L,KOSPI,두산퓨얼셀2우B,22038894000,2986300,
2026-08-21,016740,KOSPI,두올,89319584760,28674024,
2026-08-21,192650,KOSPI,드림텍,305385452415,65886829,
2026-08-21,024090,KOSPI,디씨엠,130644000000,11400000,
2026-08-21,003160,KOSPI,디아이,660805000000,28300000,
2026-08-21,092200,KOSPI,디아이씨,244609099010,38888569,
2026-08-21,377190,KOSPI,디앤디플랫폼리츠,189618000000,88400000,
2026-08-21,013570,KOSPI,디와이,110016065940,26319633,
2026-08-21,024900,KOSPI,디와이덕양,55165076120,32564980,
2026-08-21,002880,KOSPI,디와이에이,36717586075,46773995,
2026-08-21,210540,KOSPI,디와이파워,124550466240,11041708,
2026-08-21,032350,KOSPI,롯데관광개발,1016499589500,79725458,
2026-08-21,089860,KOSPI,롯데렌탈,1666600909200,36309388,
2026-08-21,330590,KOSPI,롯데리츠,1132758025280,288968884,
2026-08-21,000400,KOSPI,롯데손해보험,637741137600,310336320,
2026-08-21,023530,KOSPI,롯데쇼핑,2735522608500,28288755,
2026-08-21,020150,KOSPI,롯데에너지머티리얼즈,1542162885350,52365463,
2026-08-21,280360,KOSPI,롯데웰푸드,1180946844200,9204574,
2026-08-21,286940,KOSPI,롯데이노베이트,275354479400,15129367,
2026-08-21,004000,KOSPI,롯데정밀화학,1139070000000,25800000,
2026-08-21,004990,KOSPI,롯데지주,2272334092800,99663776,
2026-08-21,00499K,KOSPI,롯데지주우,19737273500,805603,
2026-08-21,005300,KOSPI,롯데칠성,896340194400,9278884,
2026-08-21,005305,KOSPI,롯데칠성우,51945770000,775310,
2026-08-21,011170,KOSPI,롯데케미칼,2322705251700,42775419,
2026-08-21,071840,KOSPI,롯데하이마트,148020354240,23607712,
2026-08-21,027740,KOSPI,마니커,40424896622,31755614,
2026-08-21,357430,KOSPI,마스턴프리미어리츠,26539617090,30505307,
2026-08-21,001080,KOSPI,만호제강,142040013200,35114960,
2026-08-21,088980,KOSPI,맥쿼리인프라,4568915813220,478921993,
2026-08-21,094800,KOSPI,맵스리얼티,654482033550,92834331,
2026-08-21,138040,KOSPI,메리츠금융지주,19311875304200,167347273,
2026-08-21,090370,KOSPI,메타랩스,30635861058,27304689,
2026-08-21,118000,KOSPI,메타케어,29157747770,22055785,
2026-08-21,017180,KOSPI,명문제약,41253446610,33953454,
2026-08-21,009900,KOSPI,명신산업,400871816120,52470133,
2026-08-21,317450,KOSPI,명인제약,662840000000,14600000,
2026-08-21,012690,KOSPI,모나리자,52260323395,36571255,
2026-08-21,005360,KOSPI,모나미,25568056371,18897307,
2026-08-21,070960,KOSPI,모나용평,106855999260,48133333,
2026-08-21,009680,KOSPI,모토닉,220373573160,21733094,
2026-08-21,009580,KOSPI,무림P&P,101223789852,62368324,
2026-08-21,009200,KOSPI,무림페이퍼,62996495340,41609310,
2026-08-21,033920,KOSPI,무학,218310000000,28500000,
2026-08-21,008420,KOSPI,문배철강,44185053275,20503505,
2026-08-21,025560,KOSPI,미래산업,213618033820,27778678,
2026-08-21,007120,KOSPI,미래아이앤지,31694812240,27323114,
2026-08-21,396690,KOSPI,미래에셋글로벌리츠,61072359480,39605940,
2026-08-21,357250,KOSPI,미래에셋맵스리츠,47240748450,24995105,
2026-08-21,085620,KOSPI,미래에셋생명,3305151000000,135180000,
2026-08-21,006800,KOSPI,미래에셋증권,19305057360000,559566880,
2026-08-21,00680K,KOSPI,미래에셋증권2우B,1512420000000,136500000,
2026-08-21,006805,KOSPI,미래에셋증권우,174961572500,14075750,
2026-08-21,081660,KOSPI,미스토홀딩스,2216584320000,53091840,
2026-08-21,002840,KOSPI,미원상사,559350000000,4500000,
2026-08-21,268280,KOSPI,미원에스씨,657000000000,5000000,
2026-08-21,107590,KOSPI,미원홀딩스,137576000000,2320000,
2026-08-21,134380,KOSPI,미원화학,244778528400,21992680,
2026-08-21,003650,KOSPI,미창석유,252426407200,1739672,
2026-08-21,377740,KOSPI,바이오노트,492619042080,101886048,
2026-08-21,003610,KOSPI,방림,174682632320,32110778,
2026-08-21,035150,KOSPI,백산,212539099250,19771079,
2026-08-21,002410,KOSPI,범양건영,53173451700,27479820,
2026-08-21,007210,KOSPI,벽산,94379840000,65360000,
2026-08-21,002760,KOSPI,보락,59959900000,59900000,
2026-08-21,003850,KOSPI,보령,766937630580,85787207,
