code,fiscal_year,revenue,cogs,assets
000970,2018,420668006499.0,336778585106.0,340407803294.0
000970,2019,417368938624.0,341828740971.0,351976404892.0
000970,2020,328288630355.0,273094470389.0,357526156760.0
000970,2021,510185095507.0,406625670059.0,423089951776.0
000970,2022,484291225781.0,417294923834.0,424608629316.0
000970,2023,456325697481.0,378603782864.0,434108102058.0
000970,2024,419416899335.0,342813927760.0,429705980847.0
000970,2025,406620008497.0,333504478209.0,435616657290.0
000990,2015,666594986583.0,436915515281.0,984643711741.0
000990,2016,773140180180.0,483129939120.0,986788572274.0
000990,2017,679737743507.0,426170592097.0,993950720396.0
000990,2018,669279136472.0,453942754545.0,1066533839753.0
000990,2019,807416422918.0,513292636950.0,1088889809571.0
000990,2020,935919766484.0,577034943664.0,1178581197181.0
000990,2021,1214682040178.0,679485436680.0,1549937895854.0
000990,2022,1675287533666.0,742069764946.0,2122700474808.0
000990,2023,1154223638940.0,712204456498.0,2043378694132.0
000990,2024,1131167709804.0,744330982971.0,2396851168578.0
000990,2025,1397233307039.0,896861212540.0,2992581747645.0
001000,2015,3453289434.0,3636442031.0,33700581038.0
001000,2016,3823664127.0,2345830240.0,32520875404.0
001000,2017,3996989238.0,2785324308.0,32122070109.0
001000,2018,4702692231.0,3350259065.0,31856675922.0
001000,2019,4180812574.0,2900262940.0,32161672434.0
001000,2020,4179072810.0,2851934333.0,32391838559.0
001000,2021,4350723533.0,3211378623.0,32849520233.0
001000,2022,4429624973.0,3447041449.0,31936130222.0
001000,2023,3777530598.0,2773897454.0,30965527275.0
001000,2024,3669468488.0,2648259081.0,30634773233.0
001000,2025,3590565852.0,2488613923.0,30736244622.0
001020,2015,245776625126.0,246970275793.0,554699622250.0
001020,2016,421933897529.0,404669673250.0,541922930198.0
001020,2017,556516272475.0,555449366090.0,667698214540.0
001020,2018,412274754394.0,375383899811.0,588414093296.0
001020,2019,265642043539.0,233892232211.0,627860658796.0
001020,2020,484064481529.0,419929859853.0,508899950809.0
001020,2021,435282695963.0,372394021586.0,497167643294.0
001020,2022,409957041438.0,350686969393.0,501830145462.0
