code,name,board,industry,mcap_억,adtv_억,latest_fy,rev_yoy,rev_cagr,cfo_yoy,roa,op_margin,accrual_sloan,debt_ratio,ni_positive,cfo_positive
252990,샘씨엔에스,우량기업부,전자부품 제조업,7539.3,142.59,2025,0.4627,0.1315,2.4248,0.0594,0.1881,-0.0165,0.5236,True,True
253590,네오셈,우량기업부,특수 목적용 기계 제조업,5887.2,87.29,2025,-0.3925,0.1529,-0.8061,0.0345,0.0634,0.0103,0.3008,True,True
257720,실리콘투,우량기업부,상품 종합 도매업,23279.6,229.85,2025,0.6142,0.7085,-0.981,0.2376,0.184,0.236,0.5509,True,True
263750,펄어비스,우량기업부,소프트웨어 개발 및 공급업,27562.3,252.02,2025,0.0677,-0.0618,,-0.0073,-0.0405,-0.0282,0.438,False,True
272290,이녹스첨단소재,우량기업부,전자부품 제조업,5592.5,64.42,2025,0.0398,0.0391,-0.3598,0.0514,0.1863,-0.0114,1.0829,True,True
277810,레인보우로보틱스,기술성장기업부,특수 목적용 기계 제조업,148020.9,2276.2,2025,0.7638,0.4444,,0.0099,-0.0727,0.0747,0.0708,True,False
278280,천보,중견기업부,기초 화학물질 제조업,5414.3,46.07,2025,-0.0763,-0.0018,-0.6427,-0.0706,0.0277,-0.0801,0.8176,False,True
281740,레이크머티리얼즈,우량기업부,기타 화학제품 제조업,11397.7,126.29,2025,0.0181,0.2489,16.2718,0.0219,0.094,-0.0216,1.6194,True,True
290550,디케이티,우량기업부,전자부품 제조업,4720.3,122.28,2025,0.0556,0.0394,-0.8417,0.0725,0.0507,0.0584,0.5762,True,True
290650,엘앤씨바이오,우량기업부,의약품 제조업,21252.1,350.05,2025,0.1856,0.1964,,-0.3027,0.0517,-0.3303,1.1898,False,True
295310,에이치브이엠,기술성장기업부,1차 비철금속 제조업,12099.5,379.6,2025,0.4739,0.4739,,0.0728,0.0877,0.1237,0.9229,True,False
298380,에이비엘바이오,기술성장기업부,기초 의약물질 제조업,59962.6,426.32,2025,1.3755,0.6461,,-0.1348,-0.509,0.012,0.7928,False,False
310210,보로노이,기술성장기업부,자연과학 및 공학 연구개발업,42877.1,234.37,2025,,-0.0838,,-0.2494,-7.2394,0.1716,0.6497,False,False
319400,현대무벡스,우량기업부,일반 목적용 기계 제조업,41264.8,818.09,2025,0.154,0.1318,-1.026,0.0398,0.0462,0.0449,0.7681,True,False
319660,피에스케이,우량기업부,특수 목적용 기계 제조업,26243.8,472.86,2025,0.1486,0.1981,-0.0819,0.1216,0.1936,0.026,0.1984,True,True
323280,태성,중견기업부,특수 목적용 기계 제조업,15849.2,176.24,2025,-0.3606,-0.1482,-3.1727,-0.0147,-0.0662,0.0418,0.347,False,False
327260,RF머트리얼즈,벤처기업부,전자부품 제조업,6396.8,166.15,2025,0.4402,0.2574,2.5706,0.0809,0.115,0.0251,0.4839,True,True
328130,루닛,기술성장기업부,소프트웨어 개발 및 공급업,11202.0,112.14,2025,0.5343,0.8166,,-0.1281,-0.9997,0.021,1.6916,False,False
330860,네패스아크,중견기업부,"그외 기타 전문, 과학 및 기술 서비스업",4392.3,117.81,2025,-0.0434,0.1095,-0.1645,0.0117,0.0417,-0.1481,0.7289,True,True
332570,PS일렉트로닉스,우량기업부,전자부품 제조업,4951.4,384.89,2025,0.0274,0.2742,-0.123,0.0707,0.0312,-0.0287,0.7392,True,True
336570,원텍,우량기업부,의료용 기기 제조업,7023.1,118.08,2025,0.3608,0.2438,2.4258,0.1621,0.3295,-0.0733,0.3804,True,True
340570,티앤엘,우량기업부,의료용품 및 기타 의약 관련제품 제조업,4421.6,67.04,2025,-0.0614,0.3221,-0.1906,0.1754,0.2824,0.0018,0.0791,True,True
347700,스피어,기술성장기업부,소프트웨어 개발 및 공급업,16514.6,595.78,2025,36.3915,1.0463,,0.0018,0.0947,0.1556,0.4985,True,False
347850,디앤디파마텍,기술성장기업부,자연과학 및 공학 연구개발업,36839.3,1981.09,2025,-0.6242,-0.6242,,-0.2458,-7.9097,-0.0291,0.235,False,False
348210,넥스틴,우량기업부,특수 목적용 기계 제조업,6537.7,89.29,2025,-0.4116,0.0624,-1.2598,-0.0119,-0.0173,0.038,0.4845,False,False
348340,뉴로메카,기술성장기업부,특수 목적용 기계 제조업,6675.6,281.0,2025,-0.2499,0.2479,,-0.2407,-0.7838,-0.1164,5.5763,False,False
348370,엔켐,중견기업부,기초 화학물질 제조업,7592.2,150.12,2025,-0.1447,0.0991,,-0.0637,-0.2506,-0.0644,1.3025,False,True
