순위,종목코드,종목명,시장,등락률(%),종가,거래대금,거래량,시가총액,상한가
234,047560,이스트소프트,KOSDAQ,8.67,8150,506820185,63217,95787618300,
235,158430,아톤,KOSDAQ,8.66,4140,7313160877,1748792,101355860880,
236,234340,헥토파이낸셜,KOSDAQ,8.65,18090,23842528930,1297307,252729167040,
237,054540,삼영엠텍,KOSDAQ,8.64,6540,491668965,77469,85020000000,
238,303030,지니틱스,KOSDAQ,8.64,1899,384107857,203044,17390046924,
239,228340,동양파일,KOSDAQ,8.63,2770,1028331860,383635,55400000000,
240,338840,와이바이오로직스,KOSDAQ,8.61,9590,877403740,93574,147366470790,
241,457550,우진엔텍,KOSDAQ,8.61,15390,470823030,31605,143418763620,
242,084110,휴온스글로벌,KOSDAQ,8.61,25850,962574500,38525,327256140200,
243,045660,에이텍,KOSDAQ,8.60,8080,381617355,48394,66740800000,
244,005070,코스모신소재,KOSPI,8.54,38750,4477328225,119411,1287064626250,
245,114190,강원에너지,KOSDAQ,8.53,8650,1029138620,123801,225964278700,
246,117670,알파칩스,KOSDAQ,8.53,8910,85940075,9808,59356121220,
247,285130,SK케미칼,KOSPI,8.51,40800,2992848775,75470,705789652800,
248,099440,스맥,KOSDAQ,8.51,3315,1950225913,612939,226226851110,
249,347850,디앤디파마텍,KOSDAQ,8.47,64000,78304960100,1246605,2933606976000,
250,37550L,DL이앤씨2우전환,KOSPI,8.46,43600,315959500,7386,92081063600,
251,002990,금호건설,KOSPI,8.45,11300,88785687685,7824671,421037706200,
252,223250,드림씨아이에스,KOSDAQ,8.45,3015,208349081,70965,74170338660,
253,100590,머큐리,KOSDAQ,8.44,3340,894661784,274600,57246080300,
254,365270,큐라클,KOSDAQ,8.43,9000,743552310,84587,199412928000,
255,373220,LG에너지솔루션,KOSPI,8.41,348000,111182989250,327080,81432000000000,
256,092790,넥스틸,KOSPI,8.38,11770,4277027085,368814,306043540000,
257,017860,DS단석,KOSPI,8.37,12040,1362828580,116267,213820033560,
258,397030,에이프릴바이오,KOSDAQ,8.37,26550,4074528575,159177,621637080300,
259,138080,오이솔루션,KOSDAQ,8.36,19960,1913941295,99034,247060049680,
260,136150,원일티엔아이,KOSDAQ,8.33,7670,104789980,14085,64282500100,
261,141080,리가켐바이오,KOSDAQ,8.31,101700,29212134000,293489,3764874810600,
262,295310,에이치브이엠,KOSDAQ,8.29,42450,2420952700,58708,511377363450,
263,355390,크라우드웍스,KOSDAQ,8.29,1750,463772866,260532,27780102000,
264,228760,지노믹트리,KOSDAQ,8.28,12290,1143745860,95548,305519592580,
265,437730,삼현,KOSDAQ,8.27,37950,28521254300,737322,1203302167650,
266,065350,신성델타테크,KOSDAQ,8.27,28150,4268912450,156109,773673136200,
267,030530,원익홀딩스,KOSDAQ,8.25,18510,19938162730,1088403,1429675028310,
268,064400,LG씨엔에스,KOSPI,8.20,69900,70517943750,1033118,6772327765200,
269,178920,PI첨단소재,KOSPI,8.20,19140,1417712480,75768,562071403080,
270,002787,진흥기업2우B,KOSPI,8.15,2920,110310165,38231,860839360,
271,416180,신성에스티,KOSDAQ,8.14,19000,281062155,15363,171755782000,
272,066970,엘앤에프,KOSPI,8.13,89100,25220832650,293408,3624878466000,
273,483650,달바글로벌,KOSPI,8.11,240000,37874138500,156690,2998539600000,
274,058970,엠로,KOSDAQ,8.10,14950,457317740,31525,184823770300,
275,012210,삼미금속,KOSDAQ,8.08,6690,330663050,50625,154215063510,
276,357580,아모센스,KOSDAQ,8.07,5890,218839740,38485,69441698180,
277,027360,아주IB투자,KOSDAQ,8.07,3480,2951186455,873543,421586012880,
278,382900,범한퓨얼셀,KOSDAQ,8.05,16110,1123150060,71954,141139710000,
279,288620,에스프리즘,KOSDAQ,8.05,4360,74070155,17646,30429817760,
280,208370,셀바스헬스케어,KOSDAQ,8.01,2630,1349784926,516226,67697683320,
281,060250,NHNKCP,KOSDAQ,8.00,12830,66143685250,4957647,515260639130,
282,003380,하림지주,KOSDAQ,8.00,10120,5495412835,558823,1133496884520,
283,060540,에스에이티,KOSDAQ,7.99,1190,386684669,326496,31098191460,
284,236810,엔비티,KOSDAQ,7.96,1112,21551536,20133,18876673712,
285,102940,코오롱생명과학,KOSDAQ,7.95,18880,9324515370,509485,247150584640,
286,220100,퓨쳐켐,KOSDAQ,7.93,7890,337355080,43918,176952343800,
287,010640,진양폴리,KOSPI,7.89,1600,424687554,281346,26720000000,
288,036890,진성티이씨,KOSDAQ,7.88,14100,573834485,41536,310659984300,
289,003670,포스코퓨처엠,KOSPI,7.87,152200,31393250900,213282,13537614684000,
290,080220,제주반도체,KOSDAQ,7.87,80900,122663266750,1524051,2786425189700,
291,450080,에코프로머티,KOSPI,7.86,37050,10969481100,306847,2623653883500,
292,474170,루미르,KOSDAQ,7.83,6200,294887610,48668,110469715200,
293,234030,싸이닉솔루션,KOSDAQ,7.79,3250,338250758,105542,76716250000,
294,009540,HD한국조선해양,KOSPI,7.78,381000,69431751500,185377,26964557196000,
295,105630,한세실업,KOSPI,7.78,9560,958909285,101671,382400000000,
296,223310,사토시홀딩스,KOSDAQ,7.78,4225,154054175,36515,21989612450,
297,051910,LG화학,KOSPI,7.74,271500,48664584750,183148,19165821124500,
298,011560,세보엠이씨,KOSDAQ,7.73,23000,751319925,33302,231952056000,
299,448280,에코아이,KOSDAQ,7.73,7250,85086620,12107,214825685250,
300,365340,성일하이텍,KOSDAQ,7.68,31550,1063566900,35118,407661178250,
301,005725,넥센우,KOSPI,7.66,4570,8597850,2027,16454742000,
302,006345,대원전선우,KOSPI,7.66,11100,2995319985,275295,29095320000,
303,009150,삼성전기,KOSPI,7.66,1448000,950449979500,663151,108156471808000,
304,050110,캠시스,KOSDAQ,7.65,999,475613849,481370,29195598177,
305,456160,지투지바이오,KOSDAQ,7.64,30300,3707188200,126751,503871607800,
306,354320,알멕,KOSDAQ,7.63,27500,1268890300,46984,175762977500,
307,418550,제이오,KOSDAQ,7.63,4230,599552585,146656,135434756790,
308,019550,SBI인베스트먼트,KOSDAQ,7.58,1036,802399544,779316,83950485332,
309,025320,시노펙스,KOSDAQ,7.58,3690,2528136957,711376,340079451570,
310,322180,LS티라유텍,KOSDAQ,7.57,4050,386738925,99256,87059229300,
311,046120,오르비텍,KOSDAQ,7.56,4765,843308207,181196,161321138245,
312,079900,전진건설로봇,KOSPI,7.54,33500,1720800025,53012,488850257500,
313,010820,퍼스텍,KOSPI,7.54,6130,3248238560,538655,298971979940,
314,091810,트리니티항공,KOSPI,7.53,600,374537186,644961,306318275400,
315,012450,한화에어로스페이스,KOSPI,7.52,958000,197306939000,209791,49397738158000,
316,340360,다보링크,KOSDAQ,7.52,872,247424050,303314,45398737184,
317,088390,이녹스,KOSDAQ,7.51,7300,52803780,7435,68516661200,
318,161580,필옵틱스,KOSDAQ,7.50,27950,2538993375,92858,655210803650,
319,003000,부광약품,KOSPI,7.49,4020,1164687899,297702,396631977420,
320,376270,HEM파마,KOSDAQ,7.49,40200,308053825,7882,289809317400,
321,107600,새빗켐,KOSDAQ,7.49,13060,142414720,11222,73789705240,
322,004560,현대비앤지스틸,KOSPI,7.48,11500,616685250,55350,173406326500,
323,388870,파로스아이바이오,KOSDAQ,7.48,5100,318459760,64745,66024253200,
324,096350,대창솔루션,KOSDAQ,7.46,1771,374662807,216318,65269783502,
325,225430,케이엠제약,KOSDAQ,7.46,1512,84856711,55754,8433043920,
326,033250,체시스,KOSPI,7.45,3895,255860610,67142,24928000000,
327,060370,LS마린솔루션,KOSDAQ,7.45,31000,6023484825,197578,1619404474000,
328,007460,에이프로젠,KOSPI,7.44,2310,266251080,117805,54504295230,
329,010170,대한광통신,KOSDAQ,7.43,10840,55232272305,5240662,1685464554400,
330,246690,TS인베스트먼트,KOSDAQ,7.41,1536,238907113,157977,36523275264,
331,221800,지구홀딩스,KOSDAQ,7.41,4855,165115285,34871,79228021605,
332,137400,피엔티,KOSDAQ,7.41,30450,2921721625,98185,721382667600,
333,358570,지아이이노베이션,KOSDAQ,7.40,7550,3243994550,441811,487095845300,
334,460860,동국제강,KOSPI,7.38,9170,2501591070,274129,454905515890,
335,002025,코오롱우,KOSPI,7.37,13260,285729335,22336,15387394620,
336,200350,아티스트스튜디오,KOSDAQ,7.36,1868,82483167,44097,18672574700,
337,097230,HJ중공업,KOSPI,7.35,15920,7466717665,480288,1437501876480,
338,484870,엠앤씨솔루션,KOSPI,7.35,21900,638892400,29681,200470410000,
339,039560,다산네트웍스,KOSDAQ,7.35,2410,376696390,159190,103361207880,
340,005290,동진쎄미켐,KOSDAQ,7.33,45400,16999186075,381338,2314043720400,
341,163730,핑거,KOSDAQ,7.32,8360,1621614820,196543,100451394120,
