code,name,sector
036710,심텍홀딩스,회사 본부 및 경영 컨설팅 서비스업
267980,매일유업,동·식물성 유지 및 낙농제품 제조업
043370,피에이치에이,자동차 신품 부품 제조업
046120,오르비텍,기타 과학기술 서비스업
382900,범한퓨얼셀,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
091580,상신이디피,일차전지 및 이차전지 제조업
065660,안트로젠,기타 전문 도매업
121800,비덴트,통신 및 방송 장비 제조업
478340,나라스페이스테크놀로지,"항공기,우주선 및 부품 제조업"
014940,오리엔탈정공,일반 목적용 기계 제조업
377460,큐에이드,개인 및 가정용품 수리업
389260,대명에너지,건물 건설업
125020,티씨머티리얼즈,절연선 및 케이블 제조업
474650,링크솔루션,특수 목적용 기계 제조업
318060,그래피,합성고무 및 플라스틱 물질 제조업
251370,와이엠티,기초 화학물질 제조업
151860,KG에코솔루션,자동차 차체나 트레일러 제조업
308430,셀비온,의약품 제조업
217730,강스템바이오텍,기초 의약물질 제조업
012860,모베이스전자,자동차 신품 부품 제조업
389020,자람테크놀로지,반도체 제조업
093520,매커스,기계장비 및 관련 물품 도매업
950170,JTC,종합 소매업
314130,지놈앤컴퍼니,기초 의약물질 제조업
0015G0,그린광학,사진장비 및 광학기기 제조업
338840,와이바이오로직스,자연과학 및 공학 연구개발업
190510,나무가,전자부품 제조업
099440,스맥,특수 목적용 기계 제조업
094480,갤럭시아머니트리,소프트웨어 개발 및 공급업
242040,나무기술,소프트웨어 개발 및 공급업
199820,제일일렉트릭,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
0008Z0,에스엔시스,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
054210,이랜텍,전자부품 제조업
472850,폰드그룹,"섬유, 의복, 신발 및 가죽제품 소매업"
357550,석경에이티,기초 화학물질 제조업
451760,컨텍,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
402030,코난테크놀로지,소프트웨어 개발 및 공급업
017890,한국알콜,기타 화학제품 제조업
018000,유니슨,일반 목적용 기계 제조업
067390,아스트,"항공기,우주선 및 부품 제조업"
084990,헬릭스미스,자연과학 및 공학 연구개발업
272110,케이엔제이,반도체 제조업
095500,미래나노텍,플라스틱제품 제조업
100120,뷰웍스,의료용 기기 제조업
294570,쿠콘,기타 정보 서비스업
088800,에이스테크,통신 및 방송 장비 제조업
051370,인터플렉스,전자부품 제조업
138610,나이벡,의료용품 및 기타 의약 관련제품 제조업
304100,솔트룩스,소프트웨어 개발 및 공급업
023760,한국캐피탈,기타 금융업
101360,에코앤드림,일차전지 및 이차전지 제조업
098120,마이크로컨텍솔,전자부품 제조업
036170,에이치엠넥스,반도체 제조업
394420,리센스메디컬,의료용 기기 제조업
049630,재영솔루텍,사진장비 및 광학기기 제조업
494120,큐리오시스,사진장비 및 광학기기 제조업
290690,소룩스,전구 및 조명장치 제조업
206640,바디텍메드,의료용품 및 기타 의약 관련제품 제조업
419530,SAMG엔터,"영화, 비디오물, 방송프로그램 제작 및 배급업"
322310,오로스테크놀로지,특수 목적용 기계 제조업
159010,아스플로,일반 목적용 기계 제조업
461300,아이스크림미디어,소프트웨어 개발 및 공급업
115450,HLB테라퓨틱스,기타 전문 도매업
012210,삼미금속,기타 금속 가공제품 제조업
382800,지앤비에스 에코,특수 목적용 기계 제조업
0088M0,메쥬,의료용 기기 제조업
036030,케이티알파,상품 중개업
484810,티엑스알로보틱스,일반 목적용 기계 제조업
045390,대아티아이,기타 전기장비 제조업
067080,대화제약,의약품 제조업
0007C0,아크릴,소프트웨어 개발 및 공급업
126730,코칩,전자부품 제조업
064550,바이오니아,의료용품 및 기타 의약 관련제품 제조업
255220,SG,기타 비금속 광물제품 제조업
053300,한국정보인증,소프트웨어 개발 및 공급업
439090,마녀공장,기타 화학제품 제조업
011560,세보엠이씨,건물설비 설치 공사업
232680,라온로보틱스,특수 목적용 기계 제조업
119610,인터로조,의료용 기기 제조업
123860,아나패스,반도체 제조업
464080,에스오에스랩,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
065710,서호전기,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
068930,디지털대성,일반 교습 학원
013120,동원개발,건물 건설업
418550,제이오,"건축기술, 엔지니어링 및 관련 기술 서비스업"
432720,퀄리타스반도체,반도체 제조업
214180,헥토이노베이션,기타 정보 서비스업
402490,그린리소스,반도체 제조업
119830,아이텍,"그외 기타 전문, 과학 및 기술 서비스업"
092070,디엔에프,기타 화학제품 제조업
054450,텔레칩스,반도체 제조업
380540,옵티코어,마그네틱 및 광학 매체 제조업
149950,아바텍,전자부품 제조업
126600,BGF에코머티리얼즈,합성고무 및 플라스틱 물질 제조업
417010,나노팀,일반 목적용 기계 제조업
192440,슈피겐코리아,그외 기타 제품 제조업
308080,바이젠셀,자연과학 및 공학 연구개발업
353810,이지바이오,동물용 사료 및 조제식품 제조업
405100,큐알티,"그외 기타 전문, 과학 및 기술 서비스업"
256840,한국비엔씨,기초 의약물질 제조업
034810,해성산업,기타 금융업
211270,AP위성,통신 및 방송 장비 제조업
005710,대원산업,자동차 신품 부품 제조업
083310,엘오티베큠,특수 목적용 기계 제조업
094820,일진파워,전기 및 통신 공사업
036560,KZ정밀,일반 목적용 기계 제조업
446540,메가터치,일차전지 및 이차전지 제조업
237880,클리오,기타 화학제품 제조업
457550,우진엔텍,"그외 기타 전문, 과학 및 기술 서비스업"
052330,코텍,영상 및 음향기기 제조업
418420,라온텍,전자부품 제조업
078070,유비쿼스홀딩스,기타 금융업
462860,더즌,전기 통신업
042600,새로닉스,전자부품 제조업
138360,앤로보틱스,특수 목적용 기계 제조업
194480,데브시스터즈,소프트웨어 개발 및 공급업
372170,윤성에프앤씨,특수 목적용 기계 제조업
102120,어보브반도체,반도체 제조업
041020,폴라리스오피스,소프트웨어 개발 및 공급업
488280,에스투더블유,소프트웨어 개발 및 공급업
126700,하이비젼시스템,사진장비 및 광학기기 제조업
122990,와이솔,전자부품 제조업
484120,도우인시스,전자부품 제조업
121440,골프존홀딩스,상품 중개업
474170,루미르,"항공기,우주선 및 부품 제조업"
083930,아바코,특수 목적용 기계 제조업
039840,디오,의료용 기기 제조업
264850,이랜시스,전자부품 제조업
016790,현대사료,동물용 사료 및 조제식품 제조업
108380,대양전기공업,선박 및 보트 건조업
066620,국보디자인,실내건축 및 건축마무리 공사업
321550,티움바이오,자연과학 및 공학 연구개발업
032580,피델릭스,반도체 제조업
489500,엘케이켐,기타 화학제품 제조업
361390,제노코,통신 및 방송 장비 제조업
036190,금화피에스시,전기 및 통신 공사업
264450,유비쿼스,통신 및 방송 장비 제조업
086820,바이오솔루션,기초 의약물질 제조업
199430,케이엔알시스템,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
039830,오로라,전문디자인업
176750,듀켐바이오,의약품 제조업
293580,나우IB,기타 금융업
403850,더핑크퐁컴퍼니,"영화, 비디오물, 방송프로그램 제작 및 배급업"
216080,제테마,의료용품 및 기타 의약 관련제품 제조업
123410,코리아에프티,자동차 신품 부품 제조업
452450,피아이이,특수 목적용 기계 제조업
481070,에이유브랜즈,"섬유, 의복, 신발 및 가죽제품 소매업"
024060,흥구석유,기타 전문 도매업
270660,에브리봇,가정용 기기 제조업
123330,제닉,기타 화학제품 제조업
950140,잉글우드랩,기타 화학제품 제조업
024840,KBI메탈,1차 비철금속 제조업
071200,인피니트헬스케어,소프트웨어 개발 및 공급업
039860,나노엔텍,의료용 기기 제조업
042420,네오위즈홀딩스,소프트웨어 개발 및 공급업
058820,CMG제약,의약품 제조업
377450,리파인,기타 정보 서비스업
118990,모트렉스,자동차 신품 부품 제조업
371950,풍원정밀,전자부품 제조업
187790,나노,기초 화학물질 제조업
388050,지투파워,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
082800,비보존 제약,의약품 제조업
024800,유성티엔에스,육상 여객 운송업
114840,아이패밀리에스씨,기타 화학제품 제조업
092130,이크레더블,기타 정보 서비스업
267320,나인테크,특수 목적용 기계 제조업
037030,파워넷,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
209640,와이제이링크,특수 목적용 기계 제조업
146320,비씨엔씨,반도체 제조업
080160,모두투어,여행사 및 기타 여행보조 서비스업
285490,노바텍,그외 기타 제품 제조업
032620,GC메디아이,소프트웨어 개발 및 공급업
226590,엠디바이스,전자부품 제조업
458650,성우,일차전지 및 이차전지 제조업
079960,동양이엔피,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
140670,알에스오토메이션,전자부품 제조업
143160,아이디스,통신 및 방송 장비 제조업
115500,케이씨에스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
259630,엠플러스,특수 목적용 기계 제조업
203400,에이비온,자연과학 및 공학 연구개발업
049430,코메론,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
007330,푸른저축은행,은행 및 저축기관
307930,컴퍼니케이,기타 금융업
086980,쇼박스,"영화, 비디오물, 방송프로그램 제작 및 배급업"
147830,제룡산업,"구조용 금속제품, 탱크 및 증기발생기 제조업"
380550,뉴로핏,소프트웨어 개발 및 공급업
038390,레드캡투어,여행사 및 기타 여행보조 서비스업
106190,하이텍팜,기초 의약물질 제조업
289080,SV인베스트먼트,기타 금융업
104480,티케이케미칼,화학섬유 제조업
234690,녹십자웰빙,의약품 제조업
166480,코아스템켐온,의약품 제조업
036010,아비코전자,전자부품 제조업
066410,버킷스튜디오,전기 통신업
046070,코다코,자동차 신품 부품 제조업
095700,제넥신,자연과학 및 공학 연구개발업
445180,퓨릿,기초 화학물질 제조업
060150,인선이엔티,폐기물 처리업
023910,대한약품,의약품 제조업
143240,사람인,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
142210,유니트론텍,자동차 부품 및 내장품 판매업
021080,에이티넘인베스트,신탁업 및 집합투자업
221800,지구홀딩스,기타 과학기술 서비스업
179290,엠아이텍,의료용 기기 제조업
083500,에프엔에스테크,특수 목적용 기계 제조업
049960,쎌바이오텍,기초 의약물질 제조업
046440,KG파이낸셜,소프트웨어 개발 및 공급업
051980,중앙첨단소재,통신 및 방송 장비 제조업
