ym,code,name,mcap,ep,bp,roe,div,src_rcept
2026-08,007810,코리아써키트,1309451052000,0.046556,0.377291,0.123395,0.002104,20260814002394
2026-08,229640,LS에코에너지,1306151089350,0.032979,0.19231,0.171487,0.009013,20260814002014
2026-08,007310,오뚜기,1294529090000,0.054389,1.653461,0.032894,0.025097,20260814001966
2026-08,082640,동양생명,1287516293250,0.120529,1.815097,0.066404,0.0,20260814003397
2026-08,093370,후성,1280628640200,0.036178,0.285426,0.126752,0.001097,20260814003359
2026-08,012630,HDC,1263537399150,0.350219,2.528972,0.138483,0.017629,20260818000287
2026-08,281820,케이씨텍,1263154571800,0.050267,0.454732,0.110542,0.011245,20260813001393
2026-08,192080,더블유게임즈,1257703999200,0.124941,1.066284,0.117174,0.018491,20260814003909
2026-08,003540,대신증권,1234552663400,0.300697,3.68128,0.081683,0.083983,20260813001526
2026-08,280360,롯데웰푸드,1180946844200,0.077871,1.918903,0.040581,0.025072,20260813000921
2026-08,017960,한국카본,1165304759300,0.093493,0.577925,0.161773,0.013831,20260814000604
2026-08,030610,교보증권,1143048498830,0.156327,1.989818,0.078563,0.007864,20260814003361
2026-08,300720,한일시멘트,1141421643680,0.089371,1.622897,0.055069,0.064429,20260814003685
2026-08,361610,SK아이이테크놀로지,1140930045000,-1.332379,1.128835,-1.180313,0.0,20260814003194
2026-08,004000,롯데정밀화학,1139070000000,0.162179,2.227063,0.072822,0.033541,20260814002262
2026-08,000080,하이트진로,1068836231640,0.045934,1.08067,0.042505,0.045592,20260813000855
2026-08,003530,한화투자증권,1044847664250,0.095433,2.166247,0.044055,0.0,20260813001503
2026-08,006340,대원전선,1038991012000,0.008595,0.140964,0.060971,0.0,20260812000613
2026-08,032350,롯데관광개발,1016499589500,0.035881,0.370775,0.096773,0.0,20260813001149
2026-08,192400,쿠쿠홀딩스,992184961500,0.170338,1.377209,0.123684,0.048551,20260814002973
2026-08,000210,DL,978639782800,0.112729,4.40774,0.025575,0.057386,20260814003266
2026-08,003570,SNT다이내믹스,977629291800,0.047744,0.949239,0.050297,0.042854,20260812000083
2026-08,003240,태광산업,958637400000,0.172545,4.434137,0.038913,0.001536,20260814003951
2026-08,003090,대웅,947132854200,0.179814,1.32282,0.135933,0.014472,20260814002579
2026-08,001820,삼화콘덴서,941787000000,0.019096,0.304107,0.062792,0.00562,20260814002905
2026-08,077970,STX엔진,941472077350,0.065207,0.406741,0.160315,0.0,20260814001988
2026-08,185750,종근당,923405982000,0.084942,1.099716,0.07724,0.007134,20260814003547
2026-08,009450,경동나비엔,922191873600,0.150533,0.962904,0.156333,0.011754,20260814003740
2026-08,005090,SGC에너지,904906112400,-0.059222,0.767743,-0.077138,0.022171,20260814001158
2026-08,005300,롯데칠성,896340194400,0.053583,1.735838,0.030869,0.040962,20260813000529
2026-08,009240,한샘,895465960400,0.021104,0.44771,0.047137,0.0,20260813001668
2026-08,006120,SK디스커버리,891584051200,0.073536,4.015023,0.018315,0.094408,20260813001756
2026-08,195870,해성디에스,885700000000,0.048931,0.652465,0.074995,0.017274,20260814003884
2026-08,030190,NICE평가정보,883083789730,0.090897,0.544471,0.166946,0.033778,20260813000967
2026-08,003470,유안타증권,875731063590,0.153017,2.271183,0.067373,0.0,20260814002465
2026-08,000370,한화손해보험,858031025250,0.40547,3.627254,0.111784,0.0,20260813001433
2026-08,285130,SK케미칼,858018793600,0.04601,2.873277,0.016013,0.027009,20260813001371
2026-08,034230,파라다이스,857748077320,0.104069,2.039865,0.051017,0.015308,20260814002485
2026-08,079160,CJ CGV,844472264700,-0.095188,0.897369,-0.106075,0.0,20260814003075
2026-08,071320,지역난방공사,839458940000,0.441788,2.925863,0.150994,0.084924,20260813000083
2026-08,100090,SK오션플랜트,814090020870,0.052875,1.029619,0.051354,0.0,20260814000534
2026-08,499790,GS피앤엘,789267471800,0.035845,1.103508,0.032483,0.015289,20260814000634
2026-08,005180,빙그레,786013828800,0.111599,0.998542,0.111762,0.037121,20260814000452
2026-08,003850,보령,766937630580,0.103651,1.166728,0.088839,0.017624,20260814004226
2026-08,036530,SNT홀딩스,757315504700,0.144559,1.879979,0.076894,0.063274,20260812000295
2026-08,004490,세방전지,755370000000,0.202942,2.229936,0.091008,0.047266,20260814002510
2026-08,214320,이노션,751600000000,0.138862,1.519562,0.091383,0.086267,20260814004031
2026-08,365550,ESR켄달스퀘어리츠,734575665000,0.011794,1.547104,0.007623,0.039742,20260414001470
2026-08,006110,삼아알미늄,728194358250,-0.028793,0.304263,-0.094632,0.000519,20260814003238
2026-08,298050,HS효성첨단소재,719479648800,0.045369,1.252095,0.036234,0.030952,20260814003921
2026-08,456040,OCI,717094849500,-0.044502,1.646162,-0.027034,0.004035,20260813000822
2026-08,137310,에스디바이오센서,714834683840,-1.078389,3.357174,-0.321219,0.033524,20260814002250
2026-08,064960,SNT모티브,692701099200,0.114465,1.489704,0.076837,0.061933,20260818000153
2026-08,000670,영풍,686718475900,0.572812,5.819819,0.098424,0.000384,20260814002751
2026-08,001510,SK증권,683476976175,0.072375,0.968518,0.074727,0.0,20260814001647
2026-08,317450,명인제약,662840000000,,1.231618,,,20260813000745
2026-08,003160,디아이,660805000000,0.035507,0.320638,0.110738,0.012146,20260814001182
2026-08,005880,대한해운,660018310300,0.277836,3.676029,0.075581,0.0,20260814003103
2026-08,093050,LF,657900000000,0.158817,2.554114,0.062181,0.030556,20260814002480
2026-08,268280,미원에스씨,657000000000,0.125383,0.750366,0.167096,0.023488,20260814000948
2026-08,069260,TKG휴켐스,643020189240,0.101069,1.461317,0.069163,0.059673,20260814001861
2026-08,293940,신한알파리츠,634935645750,0.01116,0.946272,0.011793,0.040231,20260814002042
2026-08,017940,E1,633864000000,0.263149,3.399891,0.077399,0.032677,20260814004295
2026-08,001570,금양,633275240400,-0.09931,0.705392,-0.140787,0.0,20260515002598
2026-08,033240,자화전자,631960933500,0.127732,0.835443,0.152891,0.0,20260813001078
