code,fiscal_year,revenue,cogs,op_income,net_income,assets,liabilities,equity,current_assets,current_liab,cash,cfo,noncurrent_liab,issued_capital
039030,2023,316384019477.0,231243276445.0,28334755251.0,36393252840.0,611678998449.0,49219483901.0,562459514548.0,429338086912.0,47021471576.0,200056020158.0,31583430990.0,2198012325.0,6159775000.0
039030,2024,320945496298.0,231920107107.0,31201085341.0,42670270031.0,653015311226.0,49983890382.0,603031420844.0,445645616892.0,48106248426.0,222229676138.0,55361110767.0,1877641956.0,6159775000.0
039030,2025,380890608578.0,241791765522.0,80753274993.0,57564773290.0,777751432327.0,89852215834.0,687899216493.0,546296543980.0,87824922520.0,236305275966.0,100287776582.0,2027293314.0,6159775000.0
240810,2019,669241556900.0,390174789600.0,41116029608.0,42862674126.0,899161666256.0,332607530256.0,566554136000.0,552974783891.0,327047469524.0,13540457060.0,-16203162265.0,5560060732.0,24541950500.0
240810,2020,1090924689101.0,624650510443.0,140597242597.0,97818821139.0,1099641462981.0,436613617233.0,663027845748.0,656887279237.0,429851413083.0,135099998502.0,225055329125.0,6762204150.0,24541950500.0
240810,2021,1232302198954.0,760681824125.0,164128988758.0,145116947236.0,1167585591415.0,366545866913.0,801039724502.0,674847713442.0,359397009130.0,37675321602.0,137290457928.0,7148857783.0,24541950500.0
240810,2022,1011484981702.0,599227531521.0,97554876588.0,89438212718.0,1121670538661.0,251943234499.0,869727304162.0,596025062092.0,248902022998.0,98372651160.0,28026783322.0,3041211501.0,24541950500.0
240810,2023,690337586778.0,414407177962.0,-18074991250.0,-13507700947.0,1084862841788.0,218160246280.0,866702595508.0,587550843984.0,209555443957.0,53989123994.0,-12315183037.0,8604802323.0,24541950500.0
240810,2024,748176487524.0,455849202744.0,10641636214.0,20748346848.0,1124147065791.0,236686893210.0,887460172581.0,645135490548.0,228970241659.0,135051183728.0,78280504451.0,7716651551.0,24541950500.0
240810,2025,909795691103.0,526952084731.0,73814129967.0,84028556164.0,1164636219440.0,194620663488.0,970015555952.0,699221942000.0,188109671299.0,107273747142.0,156607028356.0,6510992189.0,24541950500.0
178320,2019,392360900500.0,300291265872.0,54397093747.0,48987389532.0,563040745560.0,296147874067.0,266892871493.0,215563114561.0,213771544316.0,26242207456.0,-18487997633.0,82376329751.0,9050333000.0
178320,2020,321896317585.0,269579242848.0,4906027906.0,-5837685450.0,692052471094.0,450148491496.0,241903979598.0,281568714382.0,260754141595.0,21759319933.0,-36058302986.0,189394349901.0,9050333000.0
178320,2021,606146777369.0,488552248013.0,57999788641.0,38608634203.0,1050009449283.0,689826248786.0,360183200497.0,530955257907.0,438435489492.0,24094289546.0,-5332713442.0,251390759294.0,9395160500.0
178320,2022,787598942942.0,672901018995.0,44398388581.0,1611190846.0,1384813849004.0,845244135390.0,539569713614.0,728789631079.0,663136656073.0,18820691703.0,24176884350.0,182107479317.0,18790321000.0
178320,2023,778694260990.0,640746246363.0,48998367201.0,-22709745343.0,1520116356485.0,1022021038730.0,498095317755.0,780088738374.0,920013040523.0,16050215038.0,42575134956.0,102007998207.0,18790321000.0
178320,2024,1213752801436.0,1000328524307.0,108700662517.0,83921126833.0,2103214252543.0,1227629988817.0,875584263726.0,1141566418825.0,884795098474.0,41112736180.0,-113461112534.0,342834890343.0,28123977000.0
178320,2025,1066330738953.0,955875580820.0,1145784823.0,-102420702080.0,2306446623339.0,1568676139554.0,737770483785.0,1191553161457.0,1377318674314.0,32068809373.0,-39756707314.0,191357465240.0,28141074500.0
095340,2019,87678824284.0,66635848126.0,2025737210.0,3181414647.0,208455083136.0,30037440837.0,178417642299.0,65385111991.0,25004144032.0,13487443818.0,11936619913.0,5033296805.0,7071254000.0
095340,2020,121769458607.0,84812700849.0,18078107189.0,5505283414.0,239465749136.0,66743884001.0,172721865135.0,78255891238.0,59235251084.0,37125953228.0,24756782540.0,7508632917.0,7071254000.0
095340,2021,144669824213.0,81854218726.0,37517372870.0,30084735108.0,261724660673.0,39149163367.0,222575497306.0,98338761170.0,34848239520.0,51108660081.0,39254158334.0,4300923847.0,8272258000.0
