출발일,code,name,유형,등급,국면,시장낙폭,당시종가,2일누적,핵심선,카드수익,청산,경과일,40일수익,시총
2026-07-03,089030,테크윙,A,B,실행,-11.3,46600.0,-20.2,주60주,-10.9,트레일,2,,1986075372000
2026-07-03,168360,펨트론,A,A,실행,-11.3,18600.0,-12.3,일240,-5.3,손절,1,,424764591860
2026-07-03,033790,피노,A,A,실행,-11.3,6400.0,-12.4,일240,-12.0,트레일,2,,600750805270
2026-07-03,200470,에이팩트,A,A,실행,-11.3,6270.0,-18.6,일240,-5.1,손절,1,,345251057950
2026-07-03,003160,디아이,A,A,실행,-11.3,24700.0,-13.9,일240,-11.8,트레일,3,,727310000000
2026-07-03,007660,이수페타시스,A,C,실행,-11.3,110100.0,-17.2,일240,-8.7,손절,2,,8471423872600
2026-07-03,126340,비나텍,A,A,실행,-11.3,84400.0,-21.6,일240,-12.0,트레일,3,,595256320600
2026-07-02,200470,에이팩트,A,B,실행,-16.1,6300.0,-22.7,일240,-5.8,손절,1,,345251057950
2026-07-02,357780,솔브레인,A,A,실행,-16.1,303500.0,-17.0,주60주,10.2,목표,7,,2843065873000
2026-07-02,039030,이오테크닉스,B,C,실행,-16.1,384500.0,-19.2,월10,-9.7,손절,4,,5864105800000
2026-07-02,042700,한미반도체,B,A,실행,-16.1,219500.0,-14.4,월10,-3.5,손절,1,,24447579300000
2026-07-02,108490,로보티즈,A,B,실행,-16.1,227000.0,-12.7,일240,-6.6,손절,1,,3811867280000
2026-07-01,950160,코오롱티슈진,B,C,실행,-8.9,93000.0,-4.5,월10,-9.2,손절,2,,7945902900000
2026-07-01,086520,에코프로,A,B,실행,-8.9,93000.0,-21.2,주60주,-6.3,손절,1,,14473737803200
2026-07-01,161390,한국타이어앤테크놀로지,B,C,실행,-8.9,62800.0,-3.5,월10,21.0,목표,15,,7667866771100
2026-06-29,058470,리노공업,B,C,실행,-7.9,85300.0,-3.8,월10,-8.1,손절,3,,7423034190000
2026-06-26,092790,넥스틸,A,A,실행,-7.7,12430.0,-13.5,월10,-6.5,손절,4,,382489420000
2026-06-26,033100,제룡전기,A,C,실행,-7.7,41400.0,-12.6,주60주,7.2,목표,1,,947682131000
2026-06-26,066970,엘앤에프,A,C,실행,-7.7,98900.0,-13.0,주60주,7.5,목표,1,,6808658462100
2026-06-26,093320,케이아이엔엑스,A,B,실행,-7.7,100600.0,-13.3,주60주,7.7,목표,2,,560224000000
2026-06-26,010950,S-Oil,A,A,실행,-7.7,93200.0,-13.1,월10,7.6,목표,1,,12091391860800
2026-06-26,456010,아이씨티케이,A,B,실행,-7.7,16580.0,-14.5,일240,8.5,목표,1,,471466583100
2026-06-26,032500,케이엠더블유,A,B,실행,-7.7,18070.0,-13.3,주60주,7.7,목표,1,,1407093228350
2026-06-26,041920,메디아나,A,C,실행,-7.7,10690.0,-15.2,주60주,8.9,목표,1,,322865151280
2026-06-26,078600,대주전자재료,A,B,실행,-7.7,87900.0,-12.7,주60주,7.3,목표,1,,2384910350800
2026-06-26,120110,코오롱인더,A,B,실행,-7.7,56700.0,-14.4,월10,8.4,목표,1,,2150125097600
2026-06-26,010690,화신,A,A,실행,-7.7,10050.0,-16.9,월10,10.2,목표,1,,395648245300
2026-06-26,229640,LS에코에너지,A,A,실행,-7.7,47800.0,-12.3,월10,7.0,목표,1,,2116179138900
2026-06-26,126340,비나텍,A,A,실행,-7.7,80200.0,-17.1,주60주,10.3,목표,3,,1064385672000
2026-06-26,090710,휴림로봇,A,A,실행,-7.7,7420.0,-14.4,주60주,8.4,목표,1,,1247133136680
2026-06-24,323280,태성,A,B,실행,-7.1,46300.0,-13.0,일240,-9.0,손절,1,,1749826254000
2026-06-24,030530,원익홀딩스,A,B,실행,-7.1,21700.0,-12.1,주60주,-5.7,손절,2,,2097011184150
2026-06-24,254490,미래반도체,A,C,실행,-7.1,20400.0,-15.4,일240,-6.0,트레일,2,,378275600000
2026-06-24,357780,솔브레인,A,B,실행,-7.1,337500.0,-12.3,월10,7.0,목표,4,,2975301495000
2026-06-24,036200,유니셈,A,A,실행,-7.1,9340.0,-13.0,주60주,-6.9,트레일,2,,335466599620
2026-06-24,092870,엑시콘,A,A,실행,-7.1,20200.0,-12.9,일240,-5.3,손절,2,,381083272400
2026-06-24,448900,한국피아이엠,A,A,실행,-7.1,59100.0,-15.9,일240,-5.5,손절,1,,620202059700
2026-06-24,058470,리노공업,B,C,실행,-7.1,85200.0,-7.8,월10,-8.0,손절,6,,7423034190000
2026-06-24,033240,자화전자,A,A,실행,-7.1,28400.0,-12.1,일240,-5.5,손절,2,,856658154300
2026-06-24,200710,에이디테크놀로지,A,C,실행,-7.1,29900.0,-13.2,주60주,-6.8,트레일,2,,533095477200
2026-06-24,336370,솔루스첨단소재,A,B,실행,-7.1,9210.0,-12.9,일240,-6.2,손절,2,,820840751360
2026-06-24,230240,에치에프알,A,A,실행,-7.1,20050.0,-12.8,일240,-5.6,트레일,2,,423891650000
2026-06-24,027360,아주IB투자,A,A,실행,-7.1,5000.0,-17.2,주60주,-7.5,손절,2,,1464647958540
2026-06-24,003160,디아이,A,B,실행,-7.1,23850.0,-15.0,주60주,8.8,목표,4,,788155000000
