code,fiscal_year,revenue,cogs,op_income,net_income,assets,liabilities,equity,current_assets,current_liab,cash,cfo,noncurrent_liab,issued_capital
006400,2024,16592248884388.0,13498684888608.0,363304463263.0,575512415979.0,40597344536357.0,19030107423830.0,21567237112527.0,10334312926481.0,10855694147360.0,1885068694001.0,-137613377776.0,8174413276470.0,356712130000.0
006400,2025,13266730679499.0,11804981379541.0,-1722360788760.0,-584875358534.0,42255338580919.0,18685225421089.0,23570113159830.0,8739928568764.0,9794852795190.0,1803994237947.0,792385760879.0,8890372625899.0,415817130000.0
034730,2019,99264574000000.0,90206178000000.0,3949864000000.0,1607249000000.0,132020676000000.0,79838041000000.0,52182635000000.0,40029148000000.0,35563137000000.0,7981755000000.0,7978837000000.0,44274904000000.0,15385000000.0
034730,2020,81820139000000.0,76477138000000.0,-164471000000.0,-108432000000.0,137638377000000.0,85778459000000.0,51859918000000.0,38052297000000.0,37212697000000.0,10096940000000.0,9694611000000.0,48565762000000.0,15385000000.0
034730,2021,98325016000000.0,87258840000000.0,4935539000000.0,5718424000000.0,165380861000000.0,99815712000000.0,65565149000000.0,49193206000000.0,44974859000000.0,12317555000000.0,6125170000000.0,54840853000000.0,16143000000.0
034730,2022,134551641000000.0,119452622000000.0,8004710000000.0,3966176000000.0,194505860000000.0,122697070000000.0,71808790000000.0,64993579000000.0,63053204000000.0,21393853000000.0,7677749000000.0,59643866000000.0,16143000000.0
034730,2023,131237878000000.0,118444894000000.0,5056378000000.0,-406387000000.0,206970264000000.0,129091214000000.0,77879050000000.0,64834622000000.0,65353291000000.0,22683670000000.0,11353882000000.0,63737923000000.0,16143000000.0
034730,2024,124690439000000.0,113998912000000.0,2355290000000.0,528810000000.0,214977754000000.0,134690218000000.0,80287536000000.0,67462864000000.0,71532821000000.0,24647042000000.0,8110330000000.0,63157397000000.0,16143000000.0
034730,2025,122703338000000.0,113115428000000.0,1818476000000.0,3555246000000.0,213519668000000.0,127828333000000.0,85691335000000.0,71676598000000.0,67125293000000.0,25214132000000.0,6098798000000.0,60703040000000.0,16143000000.0
055550,2023,,,6100850000000.0,4478000000000.0,691795333000000.0,635473468000000.0,56321865000000.0,,,30416884000000.0,529846000000.0,,2969641000000.0
055550,2024,,,6458670000000.0,4558170000000.0,739764256000000.0,680943223000000.0,58821033000000.0,,,35247543000000.0,4626299000000.0,,2969641000000.0
055550,2025,,,7023357000000.0,5084519000000.0,786013485000000.0,725641161000000.0,60372324000000.0,,,35295123000000.0,9730881000000.0,,2969641000000.0
035420,2019,6593400065244.0,,710070173513.0,396821062465.0,12299527120786.0,5795601052206.0,6503926068580.0,5643714459664.0,3773118830740.0,3740513761418.0,1356843480419.0,2022482221466.0,16481339500.0
035420,2020,5304145900386.0,,1215342457273.0,844996977149.0,17014238663770.0,8759106628557.0,8255132035213.0,10544659200319.0,7911751492331.0,1600304349922.0,1447212217640.0,847355136226.0,16481339500.0
035420,2021,6817599707250.0,5492121536133.0,1325478171117.0,16477625559645.0,33691006757040.0,9663630407765.0,24027376349275.0,5527878425552.0,3923319146652.0,2781395543827.0,1379905728836.0,5740311261113.0,16481339500.0
035420,2022,8220078708810.0,,1304664410543.0,673180300087.0,33899042889136.0,10448720408685.0,23450322480451.0,6439570710743.0,5480633710849.0,2724168321708.0,1453390444990.0,4968086697836.0,16481339500.0
035420,2023,9670643576585.0,,1488820269608.0,985017762493.0,35737826964395.0,11499828148842.0,24237998815553.0,7028076457880.0,6305568632198.0,3576456533329.0,2002233273518.0,5194259516644.0,16481339500.0
035420,2024,10737719264647.0,,1979263438827.0,1931976372953.0,38167876036020.0,11166964187683.0,27000911848337.0,9374912034828.0,6092160669672.0,4195524637851.0,2589874337746.0,5074803518011.0,16481339500.0
035420,2025,12035007218975.0,,2208138388720.0,1818746310015.0,41084496327318.0,12131482961723.0,28953013365595.0,10928462735839.0,8018876510291.0,5984018799741.0,3095806604677.0,4112606451432.0,16481339500.0
068270,2019,1128459877886.0,494966173576.0,381532472575.0,301442694249.0,3859646629058.0,986733418125.0,2872913210933.0,1785115919500.0,657225837904.0,546137583490.0,473993887712.0,329507580221.0,128337853000.0
068270,2020,1849115532111.0,821451542911.0,718577359816.0,525702909620.0,5020121254019.0,1592540899881.0,3427580354138.0,2516494911747.0,1056766920798.0,684293887404.0,350746671970.0,535773979083.0,134997805000.0
068270,2021,1911601263030.0,805806951546.0,756857107226.0,595779438812.0,5674122532472.0,1623747845677.0,4050374686795.0,3074470613879.0,1210479664348.0,1188325852061.0,911159432327.0,413268181329.0,137947128000.0
068270,2022,2283967480394.0,1251270174707.0,647198174586.0,542566233270.0,5891652311251.0,1617448041462.0,4274204269789.0,2929792463759.0,1294097736489.0,551186669819.0,863531984.0,323350304973.0,140805210000.0
068270,2023,2176431531380.0,1124562480391.0,651481422157.0,539706505110.0,19917534297169.0,2791739989934.0,17125794307235.0,5009357806990.0,2470579210688.0,564611719562.0,537158606192.0,321160779246.0,220290520000.0
068270,2024,3557303554371.0,1875590283775.0,492015534847.0,418883310404.0,21055222437706.0,3475160069015.0,17580062368691.0,5584129149603.0,3187120605915.0,996430679072.0,901870301325.0,288039463100.0,220508291000.0
068270,2025,4162495108881.0,1695467732345.0,1168471345595.0,1031483789240.0,22334900189800.0,4982370370686.0,17352529819114.0,6205267557980.0,4453815745874.0,1119206211717.0,646050776661.0,528554624812.0,239361656000.0
010120,2019,2346848548538.0,1890428115923.0,168548576962.0,103042611501.0,2538144406862.0,1175461604523.0,1362682802339.0,1666899982143.0,753778846648.0,534507436526.0,216079620947.0,421682757875.0,150000000000.0
