rank,code,name,sector,src,score,pbr,pbr_rank,vol60,vol_rank,close,mcap,adv20,atr14,stop,stop_pct,qty,n_univ,is_jinwoo6
130,110990,디아이티,특수 목적용 기계 제조업,섹터,0.6557692307692308,1.57,114,0.0660163097350854,223,15550.0,288981000000,1392379490.5,975.7142857142857,13111,15.7,41,442,False
131,036010,아비코전자,전자부품 제조업,섹터,0.6536764705882353,0.97,53,0.07917792722283223,338,6690.0,78162451920,985902485.0,555.7142857142857,5352,20.0,74,442,False
132,020150,롯데에너지머티리얼즈,전자부품 제조업,섹터,0.6517533936651584,1.41,105,0.06735164851166671,242,29450.0,1602383167800,5556315217.5,2407.1428571428573,23560,20.0,16,442,False
133,227950,엔투텍,특수 목적용 기계 제조업,섹터,0.6479638009049774,0.29,3,0.39342940454366143,439,1434.0,42272556025,689643461.0,193.21428571428572,1147,20.0,348,442,False
134,121600,나노신소재,기타 화학제품 제조업,특성,0.6479072398190044,2.48,170,0.055542333347554006,128,46500.0,584293401150,2755095445.0,2985.714285714286,39036,16.1,13,442,False
135,006260,LS,기타 금융업,특성,0.647737556561086,2.03,134,0.06361176725482051,196,293500.0,9890400000000,55364488725.0,28142.85714285714,234800,20.0,1,442,False
136,036200,유니셈,특수 목적용 기계 제조업,섹터,0.6477375565610859,1.3,92,0.07102132126483449,274,9020.0,230288314730,2091235936.5,590.0,7545,16.4,67,442,False
137,065770,CS,통신 및 방송 장비 제조업,섹터,0.6435520361990951,0.82,40,0.08558364138219954,374,1561.0,16761012016,664320133.55,143.14285714285714,1249,20.0,320,442,False
138,036170,에이치엠넥스,반도체 제조업,섹터,0.6433257918552036,1.39,101,0.06988903677232175,261,2355.0,162312080770,943560663.0,211.78571428571428,1884,20.0,212,442,False
139,129920,대성하이텍,특수 목적용 기계 제조업,섹터,0.6420814479638008,1.17,76,0.07541917775365899,309,5990.0,99117045600,1122909900.75,758.5714285714286,4792,20.0,83,442,False
140,039440,에스티아이,특수 목적용 기계 제조업,섹터,0.6355203619909502,1.51,110,0.06917874652416171,256,19900.0,327974044050,2590200666.5,1499.2857142857142,16152,18.8,26,442,False
141,187870,디바이스,특수 목적용 기계 제조업,섹터,0.6309389140271493,1.29,90,0.07397405007039919,298,10800.0,165653821800,1580045918.0,956.4285714285714,8640,20.0,46,442,False
142,217190,제너셈,특수 목적용 기계 제조업,섹터,0.630656108597285,1.62,116,0.06852935936035247,251,6290.0,64387660095,1378546350.5,543.2142857142857,5032,20.0,79,442,False
143,336570,원텍,의료용 기기 제조업,특성,0.6300904977375565,3.41,223,0.046367289326884976,53,4615.0,462473746280,3111010504.75,252.5,3984,13.7,158,442,False
144,130660,한전산업,"건축기술, 엔지니어링 및 관련 기술 서비스업",특성,0.6288461538461538,3.67,233,0.043887850448150266,36,10880.0,371966000000,1164110310.5,501.42857142857144,9626,11.5,79,442,False
145,060280,큐렉소,기타 상품 전문 소매업,특성,0.6285067873303167,3.89,237,0.04284364124372842,29,8660.0,362260956200,2466345759.5,642.8571428571429,7053,18.6,62,442,False
146,459550,알트,통신 및 방송 장비 제조업,섹터,0.6277714932126698,0.65,27,0.09965524808598818,419,2385.0,41866463260,21795139870.8,373.07142857142856,1908,20.0,209,442,False
