date,code,BPS,PER,PBR,EPS,DIV,DPS,src_rcept
2025-12-31,101160,20992.1567,11.364,1.3434,2481.5265,0.2128,60.0,20260318001643
2025-12-31,010780,41215.7905,,0.3654,-1782.3819,6.549,986.2722,20260318001565
2025-12-31,161000,14677.7618,,0.6207,-60.6174,3.061,278.8531,20260318000074
2025-12-31,024850,6629.2348,,2.0953,-1050.8083,0.0,0.0,20260629000350
2025-12-31,072710,284822.6193,3.7926,0.329,24705.9014,2.6681,2500.0,20260318001210
2025-12-31,368770,1393.7846,46.6568,9.485,283.3455,0.4968,65.6784,20260318000249
2025-12-31,376300,8841.8453,23.1521,2.055,784.8114,1.1833,215.0,20260316001246
2025-12-31,332570,2791.086,24.3169,3.2138,368.8796,0.0,0.0,20260701000606
2025-12-31,003030,498002.975,6.5668,0.2014,15273.8594,5.0142,5029.2582,20260316000062
2025-12-31,014830,159862.8272,6.357,0.3835,9642.8768,2.8805,1765.777,20260310002923
2025-12-31,030520,581.0258,192.8585,29.4479,88.7179,0.2175,37.2212,20260727000043
2025-12-31,403550,4345.6119,,2.4623,-484.6891,0.0,0.0,20260318000788
2025-12-31,092230,261671.182,5.0177,0.36,18773.6068,8.0634,7595.7412,20260320001194
2025-12-31,272290,19725.4716,6.848,1.0104,2910.3399,1.6578,330.4067,20260318001197
2025-12-31,029530,109910.7593,19.7037,0.3703,2065.5996,3.2709,1331.2607,20260311003722
2025-12-31,092190,1696.7962,,5.0153,-336.26,0.0,0.0,20260318001624
2025-12-31,016590,14929.0188,17.098,0.6477,565.5622,1.5423,149.1436,20260319001044
2025-12-31,064260,4002.6805,,1.2816,-842.0694,0.0,0.0,20260319000938
2025-12-31,001940,80631.6896,,0.3367,-1286.874,13.3181,3615.8688,20260319001343
2025-12-31,015360,23684.274,4.4183,0.5936,3182.2163,3.3521,471.3028,20260318000261
2025-12-31,101730,5532.3247,,0.8224,-424.1708,0.0,0.0,20260316001649
2025-12-31,271940,8677.097,,1.2043,-55.0536,0.0,0.0,20260311004292
2025-12-31,170920,12243.0435,78.4537,2.92,455.6827,0.2456,87.8176,20260813001338
2025-12-31,027410,18672.7237,6.3388,0.2097,617.6233,3.5607,139.4024,20260318000777
2025-12-31,002030,576898.6858,11.9539,0.3115,15032.8052,4.9304,8859.9909,20260326000458
