code,fiscal_year,F,accrual,noa_ratio,market,sector,name
002840,2025,6,-0.05085949599192708,0.8794691103819465,KOSPI,기타 화학제품 제조업,미원상사
002960,2019,3,-0.03389703692577496,,KOSPI,석유 정제품 제조업,한국쉘석유
002960,2020,5,-0.14459298237165885,0.5320143259671348,KOSPI,석유 정제품 제조업,한국쉘석유
002960,2021,6,0.026337109614001913,0.5728284494804488,KOSPI,석유 정제품 제조업,한국쉘석유
002960,2022,5,0.06572807075360655,0.5253397514342403,KOSPI,석유 정제품 제조업,한국쉘석유
002960,2023,7,-0.03137071678151768,0.45883773926047017,KOSPI,석유 정제품 제조업,한국쉘석유
002960,2024,6,0.015725436591932134,0.5509209634036787,KOSPI,석유 정제품 제조업,한국쉘석유
002960,2025,9,-0.015378706053832642,0.560668128753055,KOSPI,석유 정제품 제조업,한국쉘석유
003000,2019,0,0.0411100226735419,,KOSPI,의약품 제조업,부광약품
003000,2020,2,-0.02700417683435498,0.6704001198773122,KOSPI,의약품 제조업,부광약품
003000,2021,5,-0.07382590866196619,0.6924347657033412,KOSPI,의약품 제조업,부광약품
003000,2022,5,-0.05165532377864483,0.6814244702892249,KOSPI,의약품 제조업,부광약품
003000,2023,2,-0.05837691013712136,0.44957016490383567,KOSPI,의약품 제조업,부광약품
003000,2024,7,-0.10134709054381116,0.5773453202560641,KOSPI,의약품 제조업,부광약품
003000,2025,5,-0.01895995139379019,0.7027933319721338,KOSPI,의약품 제조업,부광약품
003030,2019,3,-0.031754811790344215,,KOSPI,기타 금융업,세아제강지주
003030,2020,7,-0.10148892990484927,0.5953749228448186,KOSPI,기타 금융업,세아제강지주
003030,2021,6,0.13533789672767615,0.7497913224933022,KOSPI,기타 금융업,세아제강지주
003030,2022,8,-0.0063525213459945966,0.6862245270445141,KOSPI,기타 금융업,세아제강지주
003030,2023,6,-0.03364622607903266,0.695385787566531,KOSPI,기타 금융업,세아제강지주
003030,2024,4,-0.02946454932243778,0.7902143016895499,KOSPI,기타 금융업,세아제강지주
003030,2025,3,0.013299953483645443,0.739584279699395,KOSPI,기타 금융업,세아제강지주
003090,2019,3,-0.04026551695022388,,KOSPI,의약품 제조업,대웅
003090,2020,6,-0.014686151132951412,0.763056769298514,KOSPI,의약품 제조업,대웅
003090,2021,6,-0.017178409910447306,0.7048104630644924,KOSPI,의약품 제조업,대웅
003090,2022,7,-0.0133464117854054,0.7512586177893902,KOSPI,의약품 제조업,대웅
003090,2023,6,-0.0060254146884801485,0.6978476295624152,KOSPI,의약품 제조업,대웅
003090,2024,5,-0.03437499316585884,0.7684600111061217,KOSPI,의약품 제조업,대웅
003090,2025,6,-0.009179678479437944,0.8109953541057808,KOSPI,의약품 제조업,대웅
003160,2019,1,0.062497316221323124,,KOSPI,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",디아이
003160,2020,8,-0.022221582687196838,0.644567765808917,KOSPI,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",디아이
003160,2021,6,0.09333698330726835,0.6938183502164669,KOSPI,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",디아이
003160,2022,4,-0.005683135024368455,0.6618613117914662,KOSPI,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",디아이
003160,2023,5,-0.046058045309020024,0.5330888171613224,KOSPI,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",디아이
003160,2024,4,0.0553709224393188,0.6094365556682712,KOSPI,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",디아이
