code,market
026150,KOSDAQ
026890,KOSPI
026910,KOSDAQ
026940,KOSPI
026960,KOSPI
027040,KOSDAQ
027050,KOSDAQ
027360,KOSDAQ
027410,KOSPI
027580,KOSDAQ
027710,KOSDAQ
027740,KOSPI
027830,KOSDAQ
027970,KOSPI
028050,KOSPI
028080,KOSDAQ
028100,KOSPI
028260,KOSPI
02826K,KOSPI
028300,KOSDAQ
028670,KOSPI
029460,KOSPI
029480,KOSDAQ
029530,KOSPI
029780,KOSPI
030000,KOSPI
030190,KOSPI
030200,KOSPI
030210,KOSPI
030350,KOSDAQ
030520,KOSDAQ
030530,KOSDAQ
030610,KOSPI
030720,KOSPI
030960,KOSDAQ
031210,KOSPI
031310,KOSDAQ
031330,KOSDAQ
031430,KOSPI
031440,KOSPI
031510,KOSDAQ
031820,KOSPI
031860,KOSDAQ
031980,KOSDAQ
032080,KOSDAQ
032190,KOSDAQ
032280,KOSDAQ
032300,KOSDAQ
032350,KOSPI
032500,KOSDAQ
032540,KOSDAQ
032560,KOSPI
032580,KOSDAQ
032620,KOSDAQ
032640,KOSPI
032680,KOSDAQ
032685,KOSDAQ
032750,KOSDAQ
032790,KOSDAQ
032800,KOSDAQ
032820,KOSDAQ
032830,KOSPI
032850,KOSDAQ
032860,KOSDAQ
032940,KOSDAQ
032960,KOSDAQ
032980,KOSDAQ
033050,KOSDAQ
033100,KOSDAQ
033130,KOSDAQ
033160,KOSDAQ
033170,KOSDAQ
033200,KOSDAQ
033230,KOSDAQ
033240,KOSPI
033250,KOSPI
033270,KOSPI
033290,KOSDAQ
033310,KOSDAQ
033320,KOSDAQ
033340,KOSDAQ
033500,KOSDAQ
033530,KOSPI
033540,KOSDAQ
033560,KOSDAQ
033640,KOSDAQ
033780,KOSPI
033790,KOSDAQ
033830,KOSDAQ
033920,KOSPI
034020,KOSPI
034120,KOSPI
034220,KOSPI
034230,KOSPI
034310,KOSPI
034590,KOSPI
034730,KOSPI
03473K,KOSPI
034810,KOSDAQ
03481K,KOSDAQ
034830,KOSPI
034940,KOSDAQ
034950,KOSDAQ
035000,KOSPI
035080,KOSDAQ
035150,KOSPI
035200,KOSDAQ
035250,KOSPI
035290,KOSDAQ
035420,KOSPI
035460,KOSDAQ
035510,KOSPI
035600,KOSDAQ
035610,KOSDAQ
035620,KOSDAQ
035720,KOSPI
035760,KOSDAQ
035810,KOSDAQ
035890,KOSDAQ
035900,KOSDAQ
036000,KOSDAQ
036010,KOSDAQ
036030,KOSDAQ
036090,KOSDAQ
036120,KOSDAQ
036170,KOSDAQ
036190,KOSDAQ
036200,KOSDAQ
036220,KOSDAQ
036420,KOSPI
036460,KOSPI
036480,KOSDAQ
036530,KOSPI
036540,KOSDAQ
036560,KOSDAQ
036570,KOSPI
036580,KOSPI
036620,KOSDAQ
036630,KOSDAQ
036640,KOSDAQ
036670,KOSDAQ
036690,KOSDAQ
036710,KOSDAQ
036800,KOSDAQ
036810,KOSDAQ
036830,KOSDAQ
036890,KOSDAQ
036930,KOSDAQ
037030,KOSDAQ
037070,KOSDAQ
037230,KOSDAQ
037270,KOSPI
037330,KOSDAQ
037350,KOSDAQ
037370,KOSDAQ
037400,KOSDAQ
037440,KOSDAQ
037460,KOSDAQ
037560,KOSPI
037710,KOSPI
037760,KOSDAQ
037950,KOSDAQ
038010,KOSDAQ
038060,KOSDAQ
038070,KOSDAQ
038110,KOSDAQ
038290,KOSDAQ
038390,KOSDAQ
038460,KOSDAQ
038500,KOSDAQ
038530,KOSDAQ
038540,KOSDAQ
038620,KOSDAQ
038680,KOSDAQ
038870,KOSDAQ
038880,KOSDAQ
038950,KOSDAQ
039010,KOSDAQ
039020,KOSDAQ
039030,KOSDAQ
039130,KOSPI
039200,KOSDAQ
039240,KOSDAQ
039290,KOSDAQ
039310,KOSDAQ
039340,KOSDAQ
039420,KOSDAQ
039440,KOSDAQ
039490,KOSPI
039560,KOSDAQ
039570,KOSPI
039610,KOSDAQ
039740,KOSDAQ
039830,KOSDAQ
039840,KOSDAQ
039860,KOSDAQ
039980,KOSDAQ
040160,KOSDAQ
040300,KOSDAQ
040350,KOSDAQ
040420,KOSDAQ
040610,KOSDAQ
040910,KOSDAQ
041020,KOSDAQ
041190,KOSDAQ
041440,KOSDAQ
041460,KOSDAQ
041510,KOSDAQ
041520,KOSDAQ
041590,KOSDAQ
041650,KOSPI
041830,KOSDAQ
041910,KOSDAQ
041920,KOSDAQ
041930,KOSDAQ
041960,KOSDAQ
042000,KOSDAQ
042040,KOSDAQ
042110,KOSDAQ
042370,KOSDAQ
042420,KOSDAQ
042500,KOSDAQ
042510,KOSDAQ
042520,KOSDAQ
042600,KOSDAQ
042660,KOSPI
042700,KOSPI
042940,KOSDAQ
043090,KOSDAQ
043100,KOSDAQ
043150,KOSDAQ
043200,KOSDAQ
043220,KOSDAQ
043260,KOSDAQ
043340,KOSDAQ
043360,KOSDAQ
043370,KOSDAQ
043590,KOSDAQ
043610,KOSDAQ
043650,KOSDAQ
043710,KOSDAQ
043910,KOSDAQ
044180,KOSDAQ
044340,KOSDAQ
044380,KOSPI
044450,KOSPI
044480,KOSDAQ
044490,KOSDAQ
044780,KOSDAQ
044820,KOSPI
044960,KOSDAQ
044990,KOSDAQ
045060,KOSDAQ
045100,KOSDAQ
045300,KOSDAQ
045340,KOSDAQ
045390,KOSDAQ
045510,KOSDAQ
045520,KOSDAQ
045660,KOSDAQ
045970,KOSDAQ
046070,KOSDAQ
046120,KOSDAQ
046210,KOSDAQ
046310,KOSDAQ
046390,KOSDAQ
046440,KOSDAQ
046890,KOSDAQ
046940,KOSDAQ
046970,KOSDAQ
047040,KOSPI
047050,KOSPI
047080,KOSDAQ
047310,KOSDAQ
047400,KOSPI
047560,KOSDAQ
047770,KOSDAQ
047810,KOSPI
047820,KOSDAQ
047920,KOSDAQ
048410,KOSDAQ
048430,KOSDAQ
048470,KOSDAQ
048530,KOSDAQ
048550,KOSDAQ
048770,KOSDAQ
048830,KOSDAQ
048870,KOSDAQ
048910,KOSDAQ
049070,KOSDAQ
049080,KOSDAQ
049120,KOSDAQ
049180,KOSDAQ
049430,KOSDAQ
049470,KOSDAQ
049480,KOSDAQ
049520,KOSDAQ
049550,KOSDAQ
049630,KOSDAQ
049720,KOSDAQ
049800,KOSPI
049830,KOSDAQ
049950,KOSDAQ
049960,KOSDAQ
050090,KOSDAQ
050110,KOSDAQ
050120,KOSDAQ
050760,KOSDAQ
050860,KOSDAQ
050890,KOSDAQ
050960,KOSDAQ
051160,KOSDAQ
051360,KOSDAQ
051370,KOSDAQ
051380,KOSDAQ
051390,KOSDAQ
051490,KOSDAQ
051500,KOSDAQ
051600,KOSPI
051630,KOSPI
051780,KOSDAQ
051900,KOSPI
051905,KOSPI
051910,KOSPI
051915,KOSPI
051980,KOSDAQ
052020,KOSDAQ
052220,KOSDAQ
052260,KOSDAQ
052300,KOSDAQ
052330,KOSDAQ
052400,KOSDAQ
052420,KOSDAQ
052460,KOSDAQ
052600,KOSDAQ
052690,KOSPI
052710,KOSDAQ
052770,KOSDAQ
052790,KOSDAQ
052860,KOSDAQ
052900,KOSDAQ
053030,KOSDAQ
053050,KOSDAQ
053060,KOSDAQ
053080,KOSDAQ
053160,KOSDAQ
053210,KOSPI
053260,KOSDAQ
053270,KOSDAQ
053280,KOSDAQ
053290,KOSDAQ
053300,KOSDAQ
053350,KOSDAQ
053450,KOSDAQ
053580,KOSDAQ
053610,KOSDAQ
053620,KOSDAQ
053690,KOSPI
053700,KOSDAQ
053800,KOSDAQ
053950,KOSDAQ
053980,KOSDAQ
054040,KOSDAQ
054050,KOSDAQ
054090,KOSDAQ
054180,KOSDAQ
054210,KOSDAQ
054220,KOSDAQ
054300,KOSDAQ
054410,KOSDAQ
054450,KOSDAQ
054540,KOSDAQ
054620,KOSDAQ
054670,KOSDAQ
054780,KOSDAQ
054800,KOSDAQ
054920,KOSDAQ
054930,KOSDAQ
054940,KOSDAQ
054950,KOSDAQ
055490,KOSPI
055550,KOSPI
056080,KOSDAQ
056090,KOSDAQ
056190,KOSDAQ
056360,KOSDAQ
056700,KOSDAQ
056730,KOSDAQ
057030,KOSDAQ
057050,KOSPI
057540,KOSDAQ
057680,KOSDAQ
058110,KOSDAQ
058400,KOSDAQ
058430,KOSPI
058450,KOSDAQ
058470,KOSDAQ
058610,KOSDAQ
058630,KOSDAQ
058650,KOSPI
058730,KOSPI
058820,KOSDAQ
058850,KOSPI
058860,KOSPI
058970,KOSDAQ
059090,KOSDAQ
059100,KOSDAQ
059120,KOSDAQ
059210,KOSDAQ
059270,KOSDAQ
060150,KOSDAQ
060230,KOSDAQ
060240,KOSDAQ
060250,KOSDAQ
060260,KOSDAQ
060280,KOSDAQ
060310,KOSDAQ
060370,KOSDAQ
060380,KOSDAQ
060480,KOSDAQ
060540,KOSDAQ
060560,KOSDAQ
060570,KOSDAQ
060590,KOSDAQ
060720,KOSDAQ
060850,KOSDAQ
060900,KOSDAQ
060980,KOSPI
061040,KOSDAQ
061090,KOSDAQ
061250,KOSDAQ
061970,KOSDAQ
062040,KOSPI
062970,KOSDAQ
063080,KOSDAQ
063160,KOSPI
063170,KOSDAQ
063440,KOSDAQ
063570,KOSDAQ
063760,KOSDAQ
064090,KOSDAQ
064240,KOSDAQ
064260,KOSDAQ
064290,KOSDAQ
064350,KOSPI
064400,KOSPI
064480,KOSDAQ
064520,KOSDAQ
064550,KOSDAQ
064760,KOSDAQ
064800,KOSDAQ
064820,KOSDAQ
064850,KOSDAQ
064960,KOSPI
065060,KOSDAQ
065130,KOSDAQ
065150,KOSDAQ
065170,KOSDAQ
065350,KOSDAQ
065370,KOSDAQ
065420,KOSDAQ
065440,KOSDAQ
065450,KOSDAQ
065500,KOSDAQ
065510,KOSDAQ
065530,KOSDAQ
065570,KOSDAQ
065650,KOSDAQ
065660,KOSDAQ
065680,KOSDAQ
065690,KOSDAQ
065710,KOSDAQ
065770,KOSDAQ
065950,KOSDAQ
066130,KOSDAQ
066310,KOSDAQ
066360,KOSDAQ
066410,KOSDAQ
066430,KOSDAQ
066570,KOSPI
066575,KOSPI
066590,KOSDAQ
066620,KOSDAQ
066670,KOSDAQ
066700,KOSDAQ
066790,KOSDAQ
066900,KOSDAQ
066910,KOSDAQ
066970,KOSPI
066980,KOSDAQ
067000,KOSDAQ
067010,KOSDAQ
067080,KOSDAQ
067160,KOSDAQ
067170,KOSDAQ
067280,KOSDAQ
067290,KOSDAQ
067310,KOSDAQ
067370,KOSDAQ
067390,KOSDAQ
067570,KOSDAQ
067630,KOSDAQ
067730,KOSDAQ
067770,KOSDAQ
067830,KOSPI
067900,KOSDAQ
067920,KOSDAQ
067990,KOSDAQ
068050,KOSDAQ
068100,KOSDAQ
068240,KOSDAQ
068270,KOSPI
068290,KOSPI
068330,KOSDAQ
068760,KOSDAQ
068790,KOSDAQ
068930,KOSDAQ
068940,KOSDAQ
069080,KOSDAQ
069140,KOSDAQ
069260,KOSPI
069330,KOSDAQ
069410,KOSDAQ
069460,KOSPI
069510,KOSDAQ
069540,KOSDAQ
069620,KOSPI
069640,KOSPI
069730,KOSPI
069920,KOSDAQ
069960,KOSPI
070300,KOSDAQ
070590,KOSDAQ
070960,KOSPI
071050,KOSPI
071055,KOSPI
071090,KOSPI
071200,KOSDAQ
071280,KOSDAQ
071320,KOSPI
071670,KOSDAQ
071840,KOSPI
071850,KOSDAQ
071950,KOSPI
071970,KOSPI
072020,KOSDAQ
072130,KOSPI
072470,KOSDAQ
072710,KOSPI
072770,KOSDAQ
072870,KOSDAQ
072950,KOSDAQ
072990,KOSDAQ
073010,KOSDAQ
073110,KOSDAQ
073190,KOSDAQ
073240,KOSPI
073490,KOSDAQ
073540,KOSDAQ
073560,KOSDAQ
073570,KOSDAQ
073640,KOSDAQ
074430,KOSDAQ
074600,KOSDAQ
074610,KOSPI
075130,KOSDAQ
075180,KOSPI
075580,KOSPI
075970,KOSDAQ
076080,KOSDAQ
076610,KOSDAQ
077360,KOSDAQ
077500,KOSPI
077970,KOSPI
078000,KOSPI
078020,KOSDAQ
078070,KOSDAQ
078130,KOSDAQ
078140,KOSDAQ
078150,KOSDAQ
078160,KOSDAQ
078340,KOSDAQ
078350,KOSDAQ
078520,KOSPI
078590,KOSDAQ
078600,KOSDAQ
078860,KOSDAQ
078890,KOSDAQ
078930,KOSPI
078935,KOSPI
079000,KOSDAQ
079160,KOSPI
079170,KOSDAQ
079190,KOSDAQ
079370,KOSDAQ
079430,KOSPI
079550,KOSPI
079650,KOSDAQ
079810,KOSDAQ
079900,KOSPI
079940,KOSDAQ
079950,KOSDAQ
079960,KOSDAQ
079970,KOSDAQ
079980,KOSPI
080010,KOSDAQ
080160,KOSDAQ
