출발일,code,유형,국면,PER,PBR,EPS,DIV,ex,f40,peak6,PER군,PBR군,DIV군
2007-08-02,000270,A,실행,123.25,0.93,114.0,0.0,6.88259109311741,-3.64372469635627,14.6,고PER(30+),중PBR(0.8~1.5),무배당
2007-08-14,031980,A,실행,11.07,3.24,1513.0,0.0,-6.17676804626533,-17.81376518218623,14.6,중PER(8~15),고PBR(3+),무배당
2007-08-16,017960,A,실행,20.44,2.72,499.0,0.69,-6.24814814814816,-8.53801169590643,10.2,중고PER(15~30),중고PBR(1.5~3),배당<2%
2007-08-16,036710,A,실행,16.71,3.3,811.0,0.0,10.71428571428572,-5.102040816326521,26.5,중고PER(15~30),고PBR(3+),무배당
2007-08-16,011160,A,실행,72.05,2.12,229.0,0.0,-5.0,27.642276422764223,73.6,고PER(30+),중고PBR(1.5~3),무배당
2007-08-16,035950,A,실행,0.0,9.02,0.0,0.0,-5.0,-47.33624454148472,3.5,적자/무실적,고PBR(3+),무배당
2007-08-16,036830,A,실행,16.25,3.41,1745.0,0.0,-5.0,-7.83847980997624,28.5,중고PER(15~30),고PBR(3+),무배당
2007-08-16,047080,A,실행,0.0,3.63,0.0,0.0,-9.1137614678899,-5.5045871559633,45.4,적자/무실적,고PBR(3+),무배당
2007-08-16,042670,B,실행,42.0,4.59,881.0,0.95,13.752310536044348,53.78927911275415,65.2,고PER(30+),고PBR(3+),배당<2%
2007-08-16,010520,A,실행,118.26,1.1,115.0,0.74,9.22330097087378,3.3980582524271803,27.7,고PER(30+),중PBR(0.8~1.5),배당<2%
2007-08-16,005810,A,실행,6.03,0.81,5152.0,2.25,-5.0,24.54954954954955,35.1,저PER(<8),중PBR(0.8~1.5),배당2%+
2007-08-16,035720,A,실행,60.36,11.09,1163.0,0.0,8.347978910369068,31.810193321616868,62.0,고PER(30+),고PBR(3+),무배당
2007-08-16,003545,A,실행,0.0,0.0,0.0,5.4,9.16955017301037,0.34602076124568,22.5,적자/무실적,,배당2%+
2007-08-16,003540,A,실행,27.53,1.85,1362.0,2.67,11.33333333333332,9.33333333333332,34.9,중고PER(15~30),중고PBR(1.5~3),배당2%+
2007-08-16,000060,A,실행,25.83,3.38,391.0,0.99,11.0583446404342,39.75576662143827,83.9,중고PER(15~30),고PBR(3+),배당<2%
2007-08-16,031980,A,실행,11.07,3.24,1513.0,0.0,12.32227488151658,-2.84360189573459,34.1,중PER(8~15),고PBR(3+),무배당
2007-08-16,033500,A,실행,29.39,4.21,718.0,0.0,-5.0,18.44660194174756,37.2,중고PER(15~30),고PBR(3+),무배당
2007-08-16,005940,A,실행,20.31,2.16,1502.0,2.46,9.46547884187083,16.70378619153674,38.3,중고PER(15~30),중고PBR(1.5~3),배당2%+
2007-08-17,004200,A,실행,7.88,1.29,3894.0,2.61,15.30172413793102,19.827586206896548,37.9,저PER(<8),중PBR(0.8~1.5),배당2%+
2007-08-17,003640,A,실행,184.69,0.43,160.0,1.69,8.47826086956522,11.52173913043477,36.3,고PER(30+),저PBR(<0.8),배당<2%
2007-08-17,017960,A,실행,20.44,2.72,499.0,0.69,13.527180783817961,1.26422250316056,19.1,중고PER(15~30),중고PBR(1.5~3),배당<2%
2007-08-17,033500,A,실행,29.39,4.21,718.0,0.0,11.52542372881355,28.13559322033898,43.7,중고PER(15~30),고PBR(3+),무배당
2007-08-17,035950,A,실행,0.0,9.02,0.0,0.0,-6.06742808005003,-33.84615384615385,21.5,적자/무실적,고PBR(3+),무배당
2007-08-17,000060,A,실행,25.83,3.38,391.0,0.99,8.908839779005511,62.98342541436463,87.2,중고PER(15~30),고PBR(3+),배당<2%
2007-08-17,011160,A,실행,72.05,2.12,229.0,0.0,9.221311475409829,26.22950819672129,75.0,고PER(30+),중고PBR(1.5~3),무배당
2007-08-17,003410,A,실행,0.0,1.14,0.0,0.0,6.88976377952754,25.19685039370078,45.7,적자/무실적,중PBR(0.8~1.5),무배당
