theme,code,name,industry,mcap_억,adtv_억,rev_yoy,mom_12_1,dist_from_12mhigh,선반영플래그,guardrail,thesis,무효화트리거
반도체소부장,378340,필에너지,특수 목적용 기계 제조업,3157,11.8,,,,-,PASS*,,
반도체소부장,219130,타이거일렉,전자부품 제조업,3145,14.4,,,,-,PASS*,,
반도체소부장,052710,아모텍,전자부품 제조업,3112,157.5,,,,-,PASS*,,
반도체소부장,036200,유니셈,특수 목적용 기계 제조업,3094,38.5,,,,-,PASS*,,
반도체소부장,036890,진성티이씨,특수 목적용 기계 제조업,3085,34.1,,,,-,PASS*,,
반도체소부장,355150,코스텍시스,반도체 제조업,3072,124.7,,,,-,PASS*,,
반도체소부장,187870,디바이스,특수 목적용 기계 제조업,3036,137.6,,,,-,PASS*,,
반도체소부장,086390,유니테스트,특수 목적용 기계 제조업,2923,33.4,,,,-,PASS*,,
반도체소부장,061970,LB세미콘,반도체 제조업,2887,27.7,,,,-,PASS*,,
반도체소부장,459510,나우로보틱스,특수 목적용 기계 제조업,2855,25.5,,,,-,PASS*,,
반도체소부장,084850,아이티엠반도체,전자부품 제조업,2751,6.0,,,,-,PASS*,,
반도체소부장,060720,KH바텍,전자부품 제조업,2721,24.7,,,,-,PASS*,,
반도체소부장,078150,HB테크놀러지,특수 목적용 기계 제조업,2717,155.9,,,,-,PASS*,,
반도체소부장,474650,링크솔루션,특수 목적용 기계 제조업,2513,33.5,,,,-,PASS*,,
반도체소부장,389020,자람테크놀로지,반도체 제조업,2493,30.6,,,,-,PASS*,,
반도체소부장,190510,나무가,전자부품 제조업,2465,20.9,,,,-,PASS*,,
반도체소부장,099440,스맥,특수 목적용 기계 제조업,2464,40.4,,,,-,PASS*,,
반도체소부장,054210,이랜텍,전자부품 제조업,2430,33.8,,,,-,PASS*,,
반도체소부장,272110,케이엔제이,반도체 제조업,2388,41.0,,,,-,PASS*,,
반도체소부장,051370,인터플렉스,전자부품 제조업,2349,20.0,,,,-,PASS*,,
반도체소부장,098120,마이크로컨텍솔,전자부품 제조업,2332,51.9,,,,-,PASS*,,
반도체소부장,036170,에이치엠넥스,반도체 제조업,2323,44.2,,,,-,PASS*,,
반도체소부장,322310,오로스테크놀로지,특수 목적용 기계 제조업,2243,44.4,,,,-,PASS*,,
반도체소부장,382800,지앤비에스 에코,특수 목적용 기계 제조업,2222,80.0,,,,-,PASS*,,
반도체소부장,126730,코칩,전자부품 제조업,2166,170.8,,,,-,PASS*,,
반도체소부장,232680,라온로보틱스,특수 목적용 기계 제조업,2151,100.2,,,,-,PASS*,,
반도체소부장,123860,아나패스,반도체 제조업,2142,48.5,,,,-,PASS*,,
반도체소부장,432720,퀄리타스반도체,반도체 제조업,2093,56.7,,,,-,PASS*,,
반도체소부장,402490,그린리소스,반도체 제조업,2083,60.8,,,,-,PASS*,,
반도체소부장,054450,텔레칩스,반도체 제조업,2070,36.6,,,,-,PASS*,,
반도체소부장,149950,아바텍,전자부품 제조업,2064,82.1,,,,-,PASS*,,
반도체소부장,083310,엘오티베큠,특수 목적용 기계 제조업,1997,24.1,,,,-,PASS*,,
반도체소부장,418420,라온텍,전자부품 제조업,1940,47.6,,,,-,PASS*,,
반도체소부장,042600,새로닉스,전자부품 제조업,1933,5.5,,,,-,PASS*,,
반도체소부장,138360,앤로보틱스,특수 목적용 기계 제조업,1929,21.0,,,,-,PASS*,,
반도체소부장,372170,윤성에프앤씨,특수 목적용 기계 제조업,1923,5.7,,,,-,PASS*,,
