rank,code,name,theme,score,grade,F,ex12_pct,adtv_ek
282,071950,코아스,유통/소비/식품,7.0,B,,-0.88,4.0
283,001520,동양,철강/소재,7.0,B,,-0.252,26.0
284,002310,아세아제지,철강/소재,7.0,B,,-0.171,16.0
285,017810,풀무원,유통/소비/식품,7.0,B,,-0.346,6.0
286,007980,TP,유통/소비/식품,7.0,B,,0.069,4.0
287,007810,코리아써키트,반도체,7.0,B,6.0,7.455,631.0
288,102260,동성케미컬,화학/에너지,7.0,B,,-0.287,9.0
289,055490,테이팩스,화학/에너지,7.0,B,,-0.151,39.0
290,058430,포스코스틸리온,철강/소재,7.0,B,,0.204,28.0
291,016580,환인제약,바이오/제약,7.0,B,,-0.311,4.0
292,009580,무림P&P,철강/소재,7.0,B,,-0.554,8.0
293,009470,삼화전기,반도체/전자,7.0,B,,-0.075,53.0
294,017550,수산세보틱스,기계/장비,7.0,B,,-0.079,26.0
295,016740,두올,자동차,7.0,B,,0.018,5.0
296,029460,케이씨,반도체/전자,7.0,B,,0.41,10.0
297,028260,삼성물산,유통/소비/식품,7.0,B,6.0,1.8,4035.0
298,004960,한신공영,건설/엔지니어링,7.0,B,,0.178,14.0
299,286940,롯데이노베이트,반도체/전자,7.0,B,,-0.338,40.0
300,317400,자이에스앤디,건설/엔지니어링,7.0,B,,0.102,7.0
301,339770,교촌에프앤비,유통/소비/식품,7.0,B,,-0.405,5.0
302,272450,진에어,운송/물류/여행,7.0,B,,-0.488,16.0
303,006650,대한유화,화학/에너지,7.0,B,6.0,0.251,55.0
304,128820,대성산업,유통/소비/식품,7.0,B,,-0.073,94.0
305,035420,NAVER,인터넷/SW,7.0,B,6.0,-0.345,24817.0
306,004150,한솔홀딩스,금융,7.0,B,,-0.149,20.0
307,003580,HLB글로벌,유통/소비/식품,7.0,B,,-0.476,4.0
308,008350,남선알미늄,철강/소재,7.0,B,,-0.241,67.0
309,003475,유안타증권우,미분류,7.0,B,,-0.005,5.0
310,017800,현대엘리베이터,기계/장비,7.0,B,6.0,-0.276,241.0
311,018470,조일알미늄,철강/소재,7.0,B,,-0.457,21.0
312,008730,율촌화학,화학/에너지,6.67,B,8.0,-0.604,27.0
313,019170,신풍제약,바이오/제약,6.67,B,8.0,-0.553,21.0
314,002790,아모레퍼시픽홀딩스,화학/에너지,6.67,B,8.0,-0.416,33.0
315,032350,롯데관광개발,운송/물류/여행,6.33,B,7.0,-0.298,190.0
316,062040,산일전기,전력/전기장비,6.33,B,7.0,1.586,868.0
317,003550,LG,금융,6.33,B,7.0,0.12,2734.0
318,006120,SK디스커버리,금융,6.33,B,7.0,-0.236,10.0
319,092220,KEC,반도체/전자,6.0,B,,-0.209,88.0
320,090435,아모레퍼시픽우,미분류,6.0,B,,-0.25,6.0
321,000390,SP삼화,화학/에너지,6.0,B,,-0.093,19.0
322,012690,모나리자,철강/소재,6.0,B,,-0.562,4.0
323,012800,대창,철강/소재,6.0,B,,-0.282,14.0
324,000490,대동,기계/장비,6.0,B,,-0.401,26.0
325,403550,쏘카,기계/장비,6.0,B,,-0.211,9.0
326,013580,계룡건설,건설/엔지니어링,6.0,B,,-0.006,15.0
327,004560,현대비앤지스틸,철강/소재,6.0,B,,-0.137,14.0
328,003520,영진약품,바이오/제약,6.0,B,,-0.566,5.0
329,089470,HDC현대EP,화학/에너지,6.0,B,,-0.142,4.0
330,018500,동원금속,자동차,6.0,B,,-0.071,4.0
331,108670,LX하우시스,화학/에너지,6.0,B,,-0.047,11.0
332,023800,인지컨트롤스,자동차,6.0,B,,-0.276,6.0
333,004980,성신양회,철강/소재,6.0,B,,-0.232,12.0
334,029530,신도리코,반도체/전자,6.0,B,,-0.333,5.0
335,011500,한농화성,화학/에너지,6.0,B,,-0.163,29.0
336,077500,유니퀘스트,기계/장비,6.0,B,,-0.085,26.0
337,900140,엘브이엠씨홀딩스,자동차,6.0,B,,-0.481,14.0
338,011330,유니켐,자동차,6.0,B,,-0.831,5.0
