date,code,name,등급,국면,월,체인,밸류여부,성장군,카드%,ex_how
2000-03-16,025560,미래산업,정식A,실행,3,체인,False,,8.098591549295769,목표
2000-03-16,031820,아이티센씨티에스,정식A,실행,3,비체인,False,,-5.87826086956522,트레일
2000-03-16,018360,018360,정식A,실행,3,,False,,12.080536912751679,목표
2000-03-17,018360,018360,정식A,실행,3,,False,,8.78378378378377,목표
2000-03-17,007630,007630,S2-α,실행,3,,False,,-7.02127659574467,손절
2000-03-17,008270,008270,정식A,실행,3,,False,,-7.7027027027027,손절
2000-03-17,012750,에스원,정식A,실행,3,비체인,False,,-6.758113541666661,손절
2000-03-20,033320,제이씨현시스템,S2-α,실행,3,비체인,False,,-5.0,손절
2000-03-21,033320,제이씨현시스템,S2-α,실행,3,비체인,False,,14.52830188679246,목표
2000-03-21,002320,한진,S2-α,실행,3,비체인,False,,-5.0,손절
2000-03-22,000120,CJ대한통운,S2-α,실행,3,비체인,False,,-5.20607375271149,손절
2000-03-23,000120,CJ대한통운,S2-α,실행,3,비체인,False,,7.2976054732041,목표
2000-03-27,017300,017300,정식A,실행,3,,False,,-6.58862876254179,손절
2000-03-28,017300,017300,정식A,실행,3,,False,,-5.969387755102059,손절
2000-03-29,005945,NH투자증권우,S2-α,실행,3,비체인,False,,-5.81896551724138,손절
2000-03-29,019490,엑시큐어하이트론,S2-α,실행,3,비체인,False,,-8.17391304347825,트레일
2000-03-29,003540,대신증권,정식A,실행,3,비체인,False,,-6.39296187683284,손절
2000-03-30,009180,한솔로지스틱스,정식A,실행,3,비체인,False,,-5.33024333719581,손절
2000-03-30,018360,018360,정식A,실행,3,,False,,-4.99999999999999,손절
2000-03-30,019490,엑시큐어하이트론,S2-α,실행,3,비체인,False,,-5.8104433760684,손절
2000-03-30,033320,제이씨현시스템,S2-α,실행,3,비체인,False,,-6.5780730897009905,손절
2000-03-30,023590,다우기술,S2-α,실행,3,비체인,False,,-7.754385964912281,트레일
2000-03-30,003545,대신증권우,정식A,실행,3,비체인,False,,-9.214158950617291,손절
2000-03-31,009050,009050,S2-α,실행,3,,False,,-9.99999999999999,손절
2000-04-03,030210,다올투자증권,S2-α,실행,4,비체인,False,,-10.206,손절
2000-04-03,016600,큐캐피탈,정식A,실행,4,비체인,False,,-5.0,손절
2000-04-03,004000,롯데정밀화학,정식A,실행,4,비체인,False,,10.98265895953756,목표
2000-04-03,009050,009050,S2-α,실행,4,,False,,-5.0,손절
2000-04-03,005250,녹십자홀딩스,S2-α,실행,4,비체인,False,,8.82352941176471,목표
2000-04-03,014900,014900,정식A,실행,4,,False,,-4.99999999999999,손절
2000-04-04,009180,한솔로지스틱스,정식A,실행,4,비체인,False,,10.63829787234043,목표
2000-04-04,015940,015940,정식A,실행,4,,False,,18.87871853546909,목표
2000-04-04,033030,033030,정식A,실행,4,,False,,12.592592592592599,목표
2000-04-04,016600,큐캐피탈,정식A,실행,4,비체인,False,,14.404432132964,목표
2000-04-04,008600,윌비스,S2-α,실행,4,비체인,False,,14.18439716312056,목표
2000-04-04,032420,032420,정식A,실행,4,,False,,14.010989010989,목표
2000-04-04,019550,SBI인베스트먼트,정식A,실행,4,비체인,False,,13.30357142857143,목표
2000-04-04,014900,014900,정식A,실행,4,,False,,8.88429752066115,목표
2000-04-04,030210,다올투자증권,정식A,실행,4,비체인,False,,-4.10256410256409,트레일
2000-04-04,023590,다우기술,정식A,실행,4,비체인,False,,10.0,목표
2000-04-04,033320,제이씨현시스템,S2-α,실행,4,비체인,False,,6.87022900763358,목표
2000-04-06,030210,다올투자증권,정식A,실행,4,비체인,False,,6.8181818181818095,목표
2000-04-06,019550,SBI인베스트먼트,정식A,실행,4,비체인,False,,8.487084870848701,목표
2000-04-06,025930,025930,정식A,실행,4,,False,,16.964285714285722,목표
2000-04-06,015940,015940,정식A,실행,4,,False,,8.4090909090909,목표
2000-04-12,009180,한솔로지스틱스,정식A,실행,4,비체인,False,,-5.93661971830986,손절
2000-04-12,033320,제이씨현시스템,S2-α,실행,4,비체인,False,,-12.0,트레일
2000-04-12,027350,027350,정식A,실행,4,,False,,-7.05127388535032,손절
2000-04-14,031390,031390,S2-α,실행,4,,False,,-6.29094064113787,손절
2000-04-14,015940,015940,정식A,실행,4,,False,,-5.640615172955981,손절
2000-04-17,019550,SBI인베스트먼트,정식A,실행,4,비체인,False,,-5.0,손절
2000-04-17,025930,025930,정식A,실행,4,,False,,-5.0,손절
2000-04-17,031390,031390,정식A,실행,4,,False,,-7.1072796680094505,손절
2000-04-17,032420,032420,정식A,실행,4,,False,,-6.07476068609641,손절
2000-04-17,008600,윌비스,S2-α,실행,4,비체인,False,,11.76470588235292,목표
2000-04-17,015940,015940,정식A,실행,4,,False,,-0.78670360110802,트레일
2000-04-17,032930,032930,S2-α,실행,4,,False,,-5.8367291936179395,손절
2000-04-17,031970,031970,S2-α,실행,4,,False,,-10.79098357395698,손절
2000-04-17,005250,녹십자홀딩스,S2-α,실행,4,비체인,False,,11.98704103671706,목표
2000-04-17,033130,디지틀조선,정식A,실행,4,비체인,False,,-5.0,손절
2000-04-17,011650,011650,정식A,실행,4,,False,,-3.0204081632653,트레일
2000-04-17,005935,삼성전자우,정식A,실행,4,비체인,False,,12.962962962962951,목표
2000-04-17,027350,027350,정식A,실행,4,,False,,-5.0,손절
2000-04-17,020180,대신정보통신,S2-α,실행,4,비체인,False,,11.07723577235773,목표
2000-04-17,033030,033030,정식A,실행,4,,False,,-5.0,손절
2000-04-17,016600,큐캐피탈,정식A,실행,4,비체인,False,,-5.0,손절
2000-04-18,031970,031970,S2-α,실행,4,,False,,-4.32214765100671,트레일
2000-04-18,011650,011650,정식A,실행,4,,False,,9.64730290456432,목표
2000-04-18,019550,SBI인베스트먼트,정식A,실행,4,비체인,False,,-5.7862595419847205,트레일
2000-04-18,026260,026260,S2-α,실행,4,,False,,-5.82456140350877,트레일
2000-04-18,032580,피델릭스,정식A,실행,4,체인,False,,-4.77294685990338,트레일
2000-04-18,031390,031390,정식A,실행,4,,False,,8.669354838709669,목표
2000-04-18,032420,032420,정식A,실행,4,,False,,-3.7142857142857104,트레일
2000-04-18,025770,한국정보통신,정식A,실행,4,비체인,False,,-6.87853107344632,손절
2000-04-18,030000,제일기획,S2-α,실행,4,비체인,False,,8.95522388059699,목표
2000-04-18,033130,디지틀조선,정식A,실행,4,비체인,False,,-6.270700636942669,손절
2000-04-18,032930,032930,S2-α,실행,4,,False,,14.1812865497076,목표
2000-04-18,018000,유니슨,정식A,실행,4,체인,False,,-5.0,손절
